Drama Name,Timestamp,Urdu Subtitle,Urdu Length,English Subtitle,English Length,Episode,Genre,Episode No#,URL,Sentence No,Timestamps,Urdu Sentence,English Sentence,Start Time,End Time
Aashti,00:00:01.210,ہیلو، آپ کیسے ہیں؟,4.0,"Hello, how are you?",4.0,,,,,,,,,,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,1.0,00:00:01.210,ہیلو، آپ کیسے ہیں؟,"Hello, how are you?",,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,2.0,00:00:05.480,یہ کیا ہے؟  ساڑھی، آپ کے لیے تحفہ۔,"What's this? Sari, a gift for you.",,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,3.0,00:00:11.260,ساڑی,Sari.,,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,4.0,00:00:16.000,میں اس کا کیا کروں گا؟  تم جانتے ہو کہ میں ساڑھی نہیں پہنتی۔,What will I do with it? You know I don't wear sari.,,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,5.0,00:00:20.490,میں جانتا ہوں، لیکن یہ میری مرضی ہے۔  مجھے یہ پسند نہیں ہے۔,"I know, but it's my choice. I don't like it.",,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,6.0,00:00:25.880,یہ میری خاطر پہن لو، براہ مہربانی؟,"Wear it for my sake, please?",,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,7.0,00:00:28.840,میں اسے نہیں پہنوں گا!  اسے پہننے والے کو دے دو۔,I won't wear it! Give it to the one who wears it.,,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,8.0,00:00:31.890,[موسیقی],[Music],,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,9.0,00:00:43.080,اشتی، تم یہ ساڑھی لے لو۔,"Aashti, you take this sari.",,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,10.0,00:00:47.700,لے لو، یہ تمہیں بہت اچھا لگے گا۔,"Take it, it will look very good on you.",,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,11.0,00:00:49.810,ویسے بھی آپ ساڑھی میں بہت اچھی لگتی ہیں۔,Anyway you look very good in sari.,,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,12.0,00:00:51.720,لے لو، رکھو!,"Take, keep it!",,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,13.0,00:00:57.050,یہ لو، یہ بہت اچھی ساڑھی ہے، رکھ لو، پہن لو۔,"Take it, it's a very nice sari, keep it, wear it.",,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,14.0,00:01:02.380,[موسیقی],[Music],,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,15.0,00:01:09.400,کیا آپ جانتے ہیں کیا؟  میں صرف اس بارے میں سوچ رہا تھا کہ,Do you know what? I was just thinking about how,,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,16.0,00:01:12.920,ہمیں کتنی جلدی احساس ہوا کہ ہم کتنے مختلف ہیں۔,quickly we realised how different we are.,,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,17.0,00:01:18.960,یہ اچھی بات ہے کہ ہم نے اسے جلد ہی پہچان لیا۔,It's good that we recognised it early.,,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,18.0,00:01:33.880,زمانی دیکھو، میں وقت پر پہنچ جاؤں گا،,"Look Zamani, I will reach on time,",,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,19.0,00:01:37.610,ہم اپنی مرضی کے مطابق شادی کی تاریخ طے کریں گے,We will finalize the marriage date according to our will,,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,20.0,00:01:41.560,لیکن ہم اپنی مرضی کے مطابق تاریخ لیں گے۔,But we will take the date as per our wish.,,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,21.0,00:01:47.400,اماں، میں اب تیار ہوں، چلیں!  ابھی نظر نہیں آیا کیا,"Amma, I am ready now, let’s go! Nazrul hasn’t arrived yet",,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,22.0,00:01:52.060,اب خالی ہاتھ جانا ہے؟,are we supposed to go empty-handed now?,,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,23.0,00:01:55.080,ہم خالی ہاتھ کیسے جا سکتے ہیں؟  آپ یہ مٹھائیاں اپنے ساتھ لے جائیں گے۔,How can we go empty-handed? You’ll take these sweets with you.,,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,24.0,00:01:59.630,میں رسگل لایا ہوں — اشتی ان سے پیار کرتی ہیں۔,I brought rasgullas—Aashti loves them.,,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,25.0,00:02:02.640,امّاں،,"Amma, don’t take too long a date",,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,26.0,00:02:07.160,اس مہینے میں مجھے شادی کرنے کی تاریخ میں زیادہ وقت نہ لگائیں، بس،,"I have to get married in this month, that's it,",,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,27.0,00:02:09.770,میں بالکل جانتا ہوں کہ کیا کرنا ہے,I know exactly what to do,,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,28.0,00:02:13.800,لیکن آپ گھر سے نہیں نکلیں گی,But you won’t leave the house,,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,29.0,00:02:15.910,اگر آپ چلی گئیں تو آپ کی شادی نہیں ہوگی۔  اور نہ ہی کوئی گڑبڑ!,"If you leave, you won’t get married. And no messing around either!",,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,30.0,00:02:18.920,اگر آپ کو کوئی پریشانی ہوئی تو میں آپ کی ٹانگیں توڑ دوں گا۔,"If you cause any trouble, I’ll break your legs.",,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,31.0,00:02:23.810,سنو شادی کے بعد کوئی [ __ ] نہیں!,"Listen, after marriage, no nonsense!",,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,32.0,00:02:28.840,ارے نہیں، پاپا، میں کوئی پریشانی پیدا نہیں کروں گا!,"Oh no, Dad, I won’t cause any trouble!",,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,33.0,00:02:31.020,میں نے ابھی فرنیچر کی دکان سے بات کی ہے۔,I just talked to the furniture shop.,,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,34.0,00:02:34.320,وہاں ایک سیلز مین ہے جس نے مجھے 4000 روپے تنخواہ کی پیشکش کی۔,"There’s a salesman there who offered me a salary of 4,000 rupees.",,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,35.0,00:02:39.130,میں وہاں کام کروں گا اور سکون سے رہوں گا، بس,"I’ll work there and live peacefully, that’s it",,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,36.0,00:02:43.040,ہم دیکھیں گے کہ تم کتنے سکون سے رہتے ہو،,We’ll see how peacefully you live,,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,37.0,00:02:47.070,اب جلدی کرو، ہمیں دیر ہو رہی ہے!  یاد رکھو ماں اس مہینے میں,"Hurry up now, we’re getting late! Remember mother, this month",,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,38.0,00:02:55.280,دیر نہ کرو۔  جلدی جاؤ۔,Don't delay. Go fast.,,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,39.0,00:03:03.320,[بنگلہ گانا],[Bangla Song],,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,40.0,00:03:23.510,عقیلہ...,Aqeela ...,,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,41.0,00:03:27.630,عقیلہ...,Aqeela ...,,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,42.0,00:03:33.540,ماں...,Mom ...,,
Aashti,,,,,,,,,https://www.youtube.com/watch?v=XwaAg6iItsQ,43.0,00:03:36.280,عقیلہ...,Aqeela ...,,
