Drama Name,Timestamp,Urdu Subtitle,Urdu Length,English Subtitle,English Length,Episode,Genre,Episode No#,URL,Sentence No,Timestamps,Urdu Sentence,English Sentence,Start Time,End Time
Abdullah,00:00:19.040,نجو۔,1.0,Najjo.,1.0,,,,,,,,,,
Abdullah,,,,,,,,,https://www.youtube.com/watch?v=rTFVhJVFLdc,1.0,00:00:19.040,نجو۔,Najjo.,,
Abdullah,,,,,,,,,https://www.youtube.com/watch?v=rTFVhJVFLdc,2.0,00:00:21.080,ہاں بہن۔,Yes sister.,,
Abdullah,,,,,,,,,https://www.youtube.com/watch?v=rTFVhJVFLdc,3.0,00:00:23.560,ساس کو تلاوت ضرور کرنی چاہیے،,"Mother-in-law must be done with reciting,",,
Abdullah,,,,,,,,,https://www.youtube.com/watch?v=rTFVhJVFLdc,4.0,00:00:26.360,ان سے کھانا مانگو وہ بیمار ہے۔,ask her for the meal she is unwell.,,
Abdullah,,,,,,,,,https://www.youtube.com/watch?v=rTFVhJVFLdc,5.0,00:00:29.240,ٹھیک ہے بہن میں پوچھتی ہوں۔,"Okay sister, I'll ask.",,
Abdullah,,,,,,,,,https://www.youtube.com/watch?v=rTFVhJVFLdc,6.0,00:00:31.000,بتاؤ کیا میں عبداللہ کو فون کروں؟,"Tell me, do I call Abdullah?",,
Abdullah,,,,,,,,,https://www.youtube.com/watch?v=rTFVhJVFLdc,7.0,00:00:34.600,ہاں ہاں سب کو بلاؤ,"Yes, yes, call everyone,",,
Abdullah,,,,,,,,,https://www.youtube.com/watch?v=rTFVhJVFLdc,8.0,00:00:36.600,اور انکل وہاب سے,and ask Uncle Wahab,,
Abdullah,,,,,,,,,https://www.youtube.com/watch?v=rTFVhJVFLdc,9.0,00:00:39.640,ٹھیک ہے، میں پوچھوں گا۔,"Okay, I'll ask.",,
Abdullah,,,,,,,,,https://www.youtube.com/watch?v=rTFVhJVFLdc,10.0,00:01:15.200,اوہ خدا، تیرا شکر۔,"Oh God, thank you.",,
Abdullah,,,,,,,,,https://www.youtube.com/watch?v=rTFVhJVFLdc,11.0,00:01:20.520,ماں کیا ہوا؟  تم ٹھیک ہو؟,Mother what happened? Are you alright?,,
Abdullah,,,,,,,,,https://www.youtube.com/watch?v=rTFVhJVFLdc,12.0,00:01:23.680,ہاں میرے بچے، شکر ہے میں بالکل ٹھیک ہوں،,"Yes my child, I'm absolutely fine thankfully,",,
Abdullah,,,,,,,,,https://www.youtube.com/watch?v=rTFVhJVFLdc,13.0,00:01:27.120,بس کچھ کمزوری محسوس ہو رہی ہے,just feeling some weakness,,
Abdullah,,,,,,,,,https://www.youtube.com/watch?v=rTFVhJVFLdc,14.0,00:01:31.160,جب میں کچھ کھاؤں گا تو ٹھیک ہو جائے گا،,"it'll get better when I eat something,",,
Abdullah,,,,,,,,,https://www.youtube.com/watch?v=rTFVhJVFLdc,15.0,00:01:36.320,ساس، میں نے آپ کی پسندیدہ,"Mother-in-law, I made your favorite",,
Abdullah,,,,,,,,,https://www.youtube.com/watch?v=rTFVhJVFLdc,16.0,00:01:40.040,لمبی زندگی جیو، خوش رہو، خوشحال رہو۔,"Live long, live happy, live prosper.",,
Abdullah,,,,,,,,,https://www.youtube.com/watch?v=rTFVhJVFLdc,17.0,00:01:46.600,میری والدہ مجھے,My mother used to tell me,,
Abdullah,,,,,,,,,https://www.youtube.com/watch?v=rTFVhJVFLdc,18.0,00:01:56.560,صرف اسی لیے کہا کرتی تھیں کہ یہ,only that's why it is my favorite,,
Abdullah,,,,,,,,,https://www.youtube.com/watch?v=rTFVhJVFLdc,19.0,00:02:05.720,اور میرا شہزادہ کہاں ہے،,"And where is my prince,",,
Abdullah,,,,,,,,,https://www.youtube.com/watch?v=rTFVhJVFLdc,20.0,00:02:10.840,میں یہاں ہوں، دادی.,"I'm here, grandmother.",,
Abdullah,,,,,,,,,https://www.youtube.com/watch?v=rTFVhJVFLdc,21.0,00:02:15.160,مجھے بھی سخت بھوک لگ رہی ہے۔,Also I'm having a tight hunger.,,
Abdullah,,,,,,,,,https://www.youtube.com/watch?v=rTFVhJVFLdc,22.0,00:02:17.880,"""تنگ"" کیا ہے","What is ""tight""",,
Abdullah,,,,,,,,,https://www.youtube.com/watch?v=rTFVhJVFLdc,23.0,00:02:20.160,آپ کونسی زبان بول رہے ہیں؟,what language have you been speaking?,,
Abdullah,,,,,,,,,https://www.youtube.com/watch?v=rTFVhJVFLdc,24.0,00:02:22.440,میں یہ لفظ دوبارہ نہیں سننا چاہتا۔,I don't want to hear this word again.,,
Abdullah,,,,,,,,,https://www.youtube.com/watch?v=rTFVhJVFLdc,25.0,00:02:24.320,ٹھیک ہے، ٹھیک ہے،,"Okay, okay,",,
Abdullah,,,,,,,,,https://www.youtube.com/watch?v=rTFVhJVFLdc,26.0,00:02:26.040,عبداللہ، مجھے اپنی پلیٹ دو میں,"Abdullah, give me your plate",,
