Drama Name,Timestamp,Urdu Subtitle,Urdu Length,English Subtitle,English Length,Episode,Genre,Episode No#,URL,Sentence No,Timestamps,Urdu Sentence,English Sentence,Start Time,End Time
Band Baj Gaya,00:00:11.110,تم نے کیا سوچا تھا,5.0,What did you think,4.0,,,,,,,,,,
Band Baj Gaya,,,,,,,,,https://www.youtube.com/watch?v=V7NG-M4Chdw,1.0,00:00:11.110,تم نے کیا سوچا تھا,What did you think,,
Band Baj Gaya,,,,,,,,,https://www.youtube.com/watch?v=V7NG-M4Chdw,2.0,00:00:14.740,کچھ ہو رہا ہے وہ ہوتا رہے گا ایسا,Whatever is going on will keep going on,,
Band Baj Gaya,,,,,,,,,https://www.youtube.com/watch?v=V7NG-M4Chdw,3.0,00:00:18.500,نہیں ہے ایسا نہیں ہونے والا ہے,It's not like that,,
Band Baj Gaya,,,,,,,,,https://www.youtube.com/watch?v=V7NG-M4Chdw,4.0,00:00:22.180,زیادہ خوش نہ ہو,Don't be too happy,,
Band Baj Gaya,,,,,,,,,https://www.youtube.com/watch?v=V7NG-M4Chdw,5.0,00:00:26.160,پیارے دوست تم خود ہو گئے ہو برباد ہو اوہ برباد ہو تم برباد ہو اوہ برباد ہو تم برباد ہو تم,Dear friend you have been yourself,,
Band Baj Gaya,,,,,,,,,https://www.youtube.com/watch?v=V7NG-M4Chdw,6.0,00:00:44.360,برباد ہو,You are doomed,,
Band Baj Gaya,,,,,,,,,https://www.youtube.com/watch?v=V7NG-M4Chdw,7.0,00:00:51.440,اتنی بھاری کرسیاں۔,Such heavy chairs.,,
Band Baj Gaya,,,,,,,,,https://www.youtube.com/watch?v=V7NG-M4Chdw,8.0,00:00:58.160,-ہیلو، پنکی؟,"-Hello, Pinky?",,
Band Baj Gaya,,,,,,,,,https://www.youtube.com/watch?v=V7NG-M4Chdw,9.0,00:01:01.630,-جانتی ہو ناجیہ کو کیا ہوا؟,-Do you know what happened to poo Najia?,,
Band Baj Gaya,,,,,,,,,https://www.youtube.com/watch?v=V7NG-M4Chdw,10.0,00:01:05.550,اس کا شوہر، وہ سیاہ آدمی۔  - ہاں,"Her husband, that dark guy.",,
Band Baj Gaya,,,,,,,,,https://www.youtube.com/watch?v=V7NG-M4Chdw,11.0,00:01:08.790,جس کے باپ کے,The one whose father's,,
Band Baj Gaya,,,,,,,,,https://www.youtube.com/watch?v=V7NG-M4Chdw,12.0,00:01:10.920,بریانی بانٹی؟,-Biryani distributed?,,
Band Baj Gaya,,,,,,,,,https://www.youtube.com/watch?v=V7NG-M4Chdw,13.0,00:01:14.620,اوہ ہاں۔  اس کے سسر کا انتقال ہو گیا ہے نا؟,"Oh, yes. Her father-in-law died, didn't he?",,
Band Baj Gaya,,,,,,,,,https://www.youtube.com/watch?v=V7NG-M4Chdw,14.0,00:01:17.810,وہ جو,The one who was a pilot,,
Band Baj Gaya,,,,,,,,,https://www.youtube.com/watch?v=V7NG-M4Chdw,15.0,00:01:20.150,-اس کے سسر؟,-Her father-in-law?,,
Band Baj Gaya,,,,,,,,,https://www.youtube.com/watch?v=V7NG-M4Chdw,16.0,00:01:23.840,میں اسے جانتا ہوں۔  اس کا نام رافع ہے۔,I know him. His name is Rafay.,,
Band Baj Gaya,,,,,,,,,https://www.youtube.com/watch?v=V7NG-M4Chdw,17.0,00:01:28.720,اس بدمعاش نے چوری چھپے بریانی ڈالی ہے,That scoundrel has put on biryani secretly,,
Band Baj Gaya,,,,,,,,,https://www.youtube.com/watch?v=V7NG-M4Chdw,18.0,00:01:32.950,اے خدا!  کیا ناجیہ کا شوہر بھی مر گیا ہے؟,"Oh, God! Is Najia's husband dead too?",,
Band Baj Gaya,,,,,,,,,https://www.youtube.com/watch?v=V7NG-M4Chdw,19.0,00:01:35.830,نہیں یہ,"No, this was",,
Band Baj Gaya,,,,,,,,,https://www.youtube.com/watch?v=V7NG-M4Chdw,20.0,00:01:38.280,اس نے کسی ایئر ہوسٹس سے دوسری شادی کر لی۔,He got remarried with some air-hostess.,,
Band Baj Gaya,,,,,,,,,https://www.youtube.com/watch?v=V7NG-M4Chdw,21.0,00:01:41.900,اوہ، اوہ میرے خدا!,"Oh, oh my God!",,
Band Baj Gaya,,,,,,,,,https://www.youtube.com/watch?v=V7NG-M4Chdw,22.0,00:01:44.360,میں ہمیشہ کہتا تھا،,"I always used to say,",,
Band Baj Gaya,,,,,,,,,https://www.youtube.com/watch?v=V7NG-M4Chdw,23.0,00:01:48.250,مجھے پہلے ہی عمیر پر شک ہے، اس کا,"I already doubt Umair, he is",,
Band Baj Gaya,,,,,,,,,https://www.youtube.com/watch?v=V7NG-M4Chdw,24.0,00:01:52.950,-کیا؟  کیا آپ سنجیدہ ہیں؟,-What? Are you serious?,,
Band Baj Gaya,,,,,,,,,https://www.youtube.com/watch?v=V7NG-M4Chdw,25.0,00:01:54.860,مجھے نہیں معلوم، وہ,"I don't know, he keeps chatting",,
Band Baj Gaya,,,,,,,,,https://www.youtube.com/watch?v=V7NG-M4Chdw,26.0,00:01:59.040,شوہر نامی یہ مخلوق,"This creature called husband,",,
Band Baj Gaya,,,,,,,,,https://www.youtube.com/watch?v=V7NG-M4Chdw,27.0,00:02:00.930,اگر کسی اور لڑکی سے گپ شپ کرنے لگے تو,if he starts chatting with some other girl,,
Band Baj Gaya,,,,,,,,,https://www.youtube.com/watch?v=V7NG-M4Chdw,28.0,00:02:03.260,جان لیں کہ,then you should know that,,
Band Baj Gaya,,,,,,,,,https://www.youtube.com/watch?v=V7NG-M4Chdw,29.0,00:02:05.470,-کیا؟,-What?,,
Band Baj Gaya,,,,,,,,,https://www.youtube.com/watch?v=V7NG-M4Chdw,30.0,00:02:08.660,اب تم دونوں دھوکے کا مزہ لیتے ہو۔,Now you both enjoy the deception.,,
Band Baj Gaya,,,,,,,,,https://www.youtube.com/watch?v=V7NG-M4Chdw,31.0,00:02:11.140,اوہ، پنکی.  میں,"Oh, Pinky. I am really",,
Band Baj Gaya,,,,,,,,,https://www.youtube.com/watch?v=V7NG-M4Chdw,32.0,00:02:15.220,ہاں، الوداع,"Yeah, bye.",,
