Drama Name,Timestamp,Urdu Subtitle,Urdu Length,English Subtitle,English Length,Episode,Genre,Episode No#,URL,Sentence No,Timestamps,Urdu Sentence,English Sentence,Start Time,End Time
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,1,,اجے کو,Do it to Ajay,00:00:00.000,00:00:02.490
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,2,,[موسیقی],[Music] The,00:00:05.670,00:00:08.040
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,3,,اقوام متحدہ,United Nations,00:00:08.040,00:00:11.850
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,4,,کہتا ہے کہ میرے شوہر نے مجھے میرے اندر ایک مہلک دھچکا دیا۔,says that my husband gave me a fatal death my insides are,00:00:11.850,00:00:18.060
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,5,,یہ سب میرا چہرہ ہے، لیکن میں اسے نہیں چھوڑوں گا,as much as my face is mine but I have not been able to leave the one who is,00:00:18.060,00:00:23.910
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,6,,مجھے وہ مل گیا جو میرا ہے، وہ اودھی مجھ سے آخری ہے۔,mine that Awadhi is the last time,00:00:23.910,00:00:29.550
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,7,,الگ ہوئے، ہم سلام کرتے ہیں، سلام کرتے ہیں، ہم اندھیرے میں کام کرتے ہیں۔,we are separated from me pranam pranam andhiyara work it is a,00:00:29.550,00:00:39.350
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,8,,یہ ایک بڑا تہوار ہے۔,big festival it has happened to Ajay do it do it do it to Ajay do it to A,00:00:39.350,00:00:54.840
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,9,,وہ عمر تیز رفتاری نہیں ہے اور دن گزرتے جاتے ہیں۔,age is not a journey and the day has passed,00:02:05.270,00:02:09.380
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,10,,میں گیا اور تم پوسٹ پڑھ کر ابھی تک سو رہے ہو، اٹھو,and you are still sleeping reading the post wake up,00:02:09.380,00:02:12.430
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,11,,دوست ماں، شاید آپ کے ساتھ ایسا ہوا ہے۔,friend mummy maybe you have felt this,00:02:12.430,00:02:20.060
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,12,,کالج یونیورسٹی میں گھر پر اٹھو,in your college university get up I have to go to home,00:02:20.060,00:02:26.300
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,13,,صبح سویرے اور a,early in the morning and do it,00:02:26.300,00:02:32.200
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,14,,گوتم، کپڑے دھونے سے میرا کوئی نقصان نہ ہوتا,Gautam by washing clothes it has not caused any harm to me it has been,00:02:37.620,00:02:42.090
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,15,,میں نے گھر کی دیکھ بھال میں برسوں گزارے ہیں۔,years taking care of the house,00:02:47.570,00:02:50.360
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,16,,لیکن آج کل کام کا وقت بہت بڑھ گیا ہے۔,but now the time for a work will increase a lot,00:02:50.360,00:02:53.510
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,17,,میں جانتا ہوں کہ مجھے یہ کام کیوں کرنا ہے۔,I know why should I give me this work that by,00:02:53.510,00:03:01.600
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,18,,مشین میں ڈال کر کیوں دوں؟,putting it in the machine,00:03:01.600,00:03:12.100
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,19,,میری ویڈیوز کو سبسکرائب کریں۔,subscribe in my video I will,00:03:12.100,00:03:19.160
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,20,,میں کسی کا احسان نہیں لوں گا، اس کی مشین مشین ہے۔,take it is not a favour to anyone his machine is,00:03:19.160,00:03:26.080
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,21,,میرے بیٹے کے پاس مشین ہے۔,my son's machine,00:03:26.080,00:03:33.100
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,22,,اس لڑکی کا عاشق اپنی خواہش پوری کرنے پر مجھ سے ناراض ہے۔,that Rasiya is angry with me he is pulling me out of the responsibilities,00:03:33.100,00:03:35.920
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,23,,تم مجھے یہاں سے کیوں ہٹا رہے ہو تم نے یہ کیا کیا ہے؟,why what have you done,00:03:35.920,00:03:39.160
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,24,,تم نے اسے اپنے اوپر لے لیا ہے اور اسے اور کیا چاہیے؟,you have put it on your head and what does he want that,00:03:39.160,00:03:42.940
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,25,,ہے,I had mentioned the surgery that the,00:03:42.940,00:03:43.940
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,26,,کہ میں نے گاؤں سے ہونے والی سرجری کا ذکر کیا تھا۔,I had mentioned the surgery that the,00:03:43.940,00:03:47.570
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,27,,جو اناج اور پھل آئیں گے ان کی تشریح اسی شکل میں کی جائے گی۔,grains and fruits will come from the village in this form the,00:03:47.570,00:03:49.790
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,28,,جب سے میں نے اسے سنا ہے میں نے عبادت کی۔,part of the explanation had been worshipped since  I have heard that,00:03:49.790,00:03:52.880
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,29,,وہ خراب ہے,she has gone bad.,00:03:52.880,00:03:55.430
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,30,,مجھے تمہارا بچہ نہیں چاہیے، جتن,I don't want your baby. I don't want you to,00:03:55.430,00:03:58.730
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,31,,اپنی بھانجی کے سر پر ہاتھ رکھنا بھی بے وفائی ہے۔,put your hand on your niece's head.,00:03:58.730,00:04:02.330
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,32,,بچہ اپنا حصہ کیوں دیتا ہے؟,Why does a child do that?,00:04:02.330,00:04:12.480
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,33,,[موسیقی],[Music],00:04:12.480,00:04:18.330
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,34,,میں اچھا ہوں بچہ اگر وہ ایک بار اٹھا لے,"I am a good child. If she takes the medicine once, you should shut up the",00:04:18.330,00:04:22.110
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,35,,دوسرے کا منہ بند کرنا درست ہے۔,mouth of the other person.,00:04:27.390,00:04:29.790
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,36,,کتنی ذاتوں کے لیے، آپ لاکھ کر سکتے ہیں، نہیں۔,"How many times do you use any excuse to shut up the other person's mouth? Otherwise,",00:04:29.790,00:04:34.740
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,37,,اس لیے اسے کچھ کہنا غلط تھا لیکن بالکل درست تھا۔,saying something to him is wrong. I have said the right thing.,00:04:34.740,00:04:39.450
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,38,,اور تمہاری نانی تمہاری چھوٹی بہو جیسی نہیں ہیں۔,"And your grandmother, though she doesn't like her younger daughter-in-law,",00:04:39.450,00:04:46.950
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,39,,نہیں لیکن میرے معاملے میں یہ فوری ہے۔,"but in my case, she would have taken it immediately. She would have",00:04:46.950,00:04:49.350
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,40,,تم جاؤ اور ان کے ساتھ رہو لیکن تم جانتے ہو کہ,"gone to her daughter-in-law and lived with her. But you know, I am",00:04:54.330,00:04:57.780
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,41,,میرا دعویٰ ہے کہ آپ بالکل درست ہیں۔,claiming that you are absolutely right.,00:04:57.780,00:05:03.920
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,42,,کہ تم اس طرح معافی میں شامل ہو رہے ہو۔,You are getting involved in the Parihar. The,00:05:03.920,00:05:07.760
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,43,,تو دنیا باقاعدگی سے آپ کا ساتھ دے گی۔,"world is regular and big, so take your side.",00:05:07.760,00:05:10.070
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,44,,یہ سمجھ لیں کہ یہ آپ کے ساتھ ایک بار ہوتا ہے، اب,"Understand, once it happens to you that now the",00:05:10.070,00:05:13.760
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,45,,اب دیکھو آنکھیں ان کے پیچھے لگ گئی ہیں۔,"eyes are after them. See, now",00:05:13.760,00:05:16.730
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,46,,آپ سب جانتے ہیں کہ سچائی آپ سے بچ جاتی ہے۔,"you all know that the truth is with you. So, the people",00:05:16.730,00:05:18.800
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,47,,اس لیے ان کی فلم اصلاح 6 میں بھی ایک خاص مقام رکھتی ہے۔,in their film industry also,00:05:18.800,00:05:23.180
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,48,,وہ سوچتا ہے کہ لوگ کیا کہیں گے۔,think what people will say. That's why they,00:05:23.180,00:05:25.940
Bandhy Aik Dor Sai,,,,,,,,1,https://www.youtube.com/watch?v=UzkwYcUDmwE,49,,ان کے ساتھ اچھا سلوک کیا جاتا ہے اور وہ,treat her well and,00:05:25.940,00:05:27.950
