Drama Name,Timestamp,Urdu Subtitle,Urdu Length,English Subtitle,English Length,Episode,Genre,Episode No#,URL,Sentence No,Timestamps,Urdu Sentence,English Sentence,Start Time,End Time
Bawali,00:00:00.000,میں بوری بن جاؤں تو بھی غصہ ٹھنڈا ہو جاؤں اور بالکل بدل جاؤں,14.0,"Even if I become a sack, my anger subsides, and I completely change",13.0,,,,,,,,,,
Bawali,,,,,,,,,https://www.youtube.com/watch?v=y6394tIwAxU,1.0,00:00:00.000,میں بوری بن جاؤں تو بھی غصہ ٹھنڈا ہو جاؤں اور بالکل بدل جاؤں,"Even if I become a sack, my anger subsides, and I completely change",,
Bawali,,,,,,,,,https://www.youtube.com/watch?v=y6394tIwAxU,2.0,00:00:05.000,تب بھی کیا تم مجھ سے اتنی محبت کرو گے؟,"Even then, will you love me this much?",,
Bawali,,,,,,,,,https://www.youtube.com/watch?v=y6394tIwAxU,3.0,00:00:09.740,ہاں، میں وعدہ کرتا ہوں کہ,"Yes, I promise",,
Bawali,,,,,,,,,https://www.youtube.com/watch?v=y6394tIwAxU,4.0,00:00:14.940,آپ اس شاہراہ پر کافی شاعرانہ انداز میں بات کر رہے ہیں۔,You're speaking quite poetically on this highway.,,
Bawali,,,,,,,,,https://www.youtube.com/watch?v=y6394tIwAxU,5.0,00:00:19.380,اس لمحے میں جیو، اگلے لمحے کے لیے شاید لمحہ فکریہ ہو،,"Live in the moment, for the next moment may be fleeting",,
Bawali,,,,,,,,,https://www.youtube.com/watch?v=y6394tIwAxU,6.0,00:00:19.420,لمحے میں جیو، اگلے لمحے کے لیے ہو سکتا ہے کہ,"Live in the moment, for the next moment may be fleeting",,
Bawali,,,,,,,,,https://www.youtube.com/watch?v=y6394tIwAxU,7.0,00:00:27.360,آپ کے ساتھ کیا ہوا ہے۔  چچا!,what happend to you. uncle!,,
Bawali,,,,,,,,,https://www.youtube.com/watch?v=y6394tIwAxU,8.0,00:00:32.780,روح,Rooh?,,
Bawali,,,,,,,,,https://www.youtube.com/watch?v=y6394tIwAxU,9.0,00:00:42.020,موسیقی!,Music!,,
Bawali,,,,,,,,,https://www.youtube.com/watch?v=y6394tIwAxU,10.0,00:00:42.060,موسیقی!,Music!,,
Bawali,,,,,,,,,https://www.youtube.com/watch?v=y6394tIwAxU,11.0,00:01:08.860,میڈم صاحبہ، کیا آج آپ کو ناشتہ کرنے میں دل نہیں لگتا؟,"Madam Sahiba, do you not feel like having breakfast today?",,
Bawali,,,,,,,,,https://www.youtube.com/watch?v=y6394tIwAxU,12.0,00:01:11.680,اگر آپ کا بیٹا اپنے کمرے سے باہر آئے تو ہم ناشتے کا بھی بندوبست کر دیں گے۔,"If your son comes out of his room, we'll also arrange breakfast.",,
Bawali,,,,,,,,,https://www.youtube.com/watch?v=y6394tIwAxU,13.0,00:01:16.600,ہنسی.. نائلہ بیگم!  اس کی شادی ابھی دس دن پہلے ہوئی تھی۔,laughing.. Naila Begam! His wedding took  place just ten days ago.,,
Bawali,,,,,,,,,https://www.youtube.com/watch?v=y6394tIwAxU,14.0,00:01:23.200,اب وہ اتنی آسانی سے اپنے کمرے سے باہر نہیں آئے گا۔,"Now, he won't come out of his room so easily.",,
Bawali,,,,,,,,,https://www.youtube.com/watch?v=y6394tIwAxU,15.0,00:01:26.140,آپ کا بیٹا جس ملکہ کو گھر لایا ہے وہ کہیں بھاگ نہیں رہی ہے,The queen your son brought home isn't running away anywhere,,
Bawali,,,,,,,,,https://www.youtube.com/watch?v=y6394tIwAxU,16.0,00:01:30.880,وہ سارا دن اپنے کمرے میں رہتی ہے۔,he stays in his room all day.,,
Bawali,,,,,,,,,https://www.youtube.com/watch?v=y6394tIwAxU,17.0,00:01:30.900,وہ سارا دن اپنے کمرے میں رہتی ہے۔,he stays in his room all day.,,
Bawali,,,,,,,,,https://www.youtube.com/watch?v=y6394tIwAxU,18.0,00:01:33.160,تم اپنا وقت کیوں بھول گئے ہو؟,Why have you forgotten your time?,,
Bawali,,,,,,,,,https://www.youtube.com/watch?v=y6394tIwAxU,19.0,00:01:35.840,چلو!  نوید۔  کیا تم میرا موازنہ اس غریب لڑکی سے کر رہے ہو؟,Come on! Naveed. Are you comparing me to that poor girl?,,
Bawali,,,,,,,,,https://www.youtube.com/watch?v=y6394tIwAxU,20.0,00:01:40.860,نرمی سے بولو، کوئی سنے گا۔,"Speak softly, someone will hear.",,
Bawali,,,,,,,,,https://www.youtube.com/watch?v=y6394tIwAxU,21.0,00:01:43.640,میرا پاؤں!میں اس سے ڈرتا ہوں، واقعی؟,"My foot!I'm scared of her, really?",,
Bawali,,,,,,,,,https://www.youtube.com/watch?v=y6394tIwAxU,22.0,00:01:46.480,ڈارلنگ پلیز!,Darling please!,,
Bawali,,,,,,,,,https://www.youtube.com/watch?v=y6394tIwAxU,23.0,00:01:50.500,وہ احسن کی پسند ہے۔,She is Ahsan 's choice.,,
Bawali,,,,,,,,,https://www.youtube.com/watch?v=y6394tIwAxU,24.0,00:01:52.260,"اب وہ ہماری بہو ہے، اس کے بارے میں سوچو""","now she's our daughter-in-law, think about it.""",,
Bawali,,,,,,,,,https://www.youtube.com/watch?v=y6394tIwAxU,25.0,00:01:55.760,تو میں کیا کروں؟ میں نے اس کی خواہش پوری کر دی، کیا میں اسے تاج پہنا دوں؟,So what should I do? I've fulfilled his wish. Should I crown her?,,
Bawali,,,,,,,,,https://www.youtube.com/watch?v=y6394tIwAxU,26.0,00:02:01.400,خدا! تم لے کر آئے ہو، تو اسے بھی قبول کرو،,God! You have brought it. So accept it too.,,
Bawali,,,,,,,,,https://www.youtube.com/watch?v=y6394tIwAxU,27.0,00:02:06.680,پھر غیر ضروری مسائل ہوں گے،,There will be unnecessary problems then.,,
Bawali,,,,,,,,,https://www.youtube.com/watch?v=y6394tIwAxU,28.0,00:02:08.920,اگر اس نے پریشانی پیدا کی تو وہ اپنے گھر واپس چلی جائے گی، میں برداشت نہیں کروں گا،,"If she causes problems, she will go back to her home. I won't tolerate it.",,
