Drama Name,Timestamp,Urdu Subtitle,Urdu Length,English Subtitle,English Length,Episode,Genre
Baylgam,00:01:43.880,اینی!  وہ دیکھو۔,3,Annie! Look at that.,4,,
Baylgam,00:01:46.240,کیا گاڑی ہے یار؟  اوہ۔,5,"What a car, man? Oh.",5,,
Baylgam,00:01:49.360,چلو۔  چلو۔,2,Come on. Come on.,4,,
Baylgam,00:01:51.120,جی ہاں؟,2,Yes?,1,,
Baylgam,00:01:53.000,جی ہاں؟,2,Yes?,1,,
Baylgam,00:01:54.720,سب کو لگے گا کہ یہ میری گاڑی ہے۔,9,Everyone will feel this is my car.,7,,
Baylgam,00:01:56.320,اس طرح کی ویڈیو بنائیں۔,5,Make a video like this.,5,,
Baylgam,00:01:58.480,میرا فون لے لو۔,4,Take my phone.,3,,
Baylgam,00:02:00.120,میں یہاں کھڑا رہوں گا اور,6,I will stand here and,5,,
Baylgam,00:02:02.120,تیار ہیں؟  چلو۔,3,Ready? Come on.,3,,
Baylgam,00:02:03.520,لیکن کسی کی گاڑی کو اس طرح استعمال کرنا…,9,But using someone’s car like this…,6,,
Baylgam,00:02:05.000,چلو جلدی سے ویڈیو بنا لو۔,6,"Come on, quickly make the video.",6,,
Baylgam,00:02:06.880,تیار ہیں؟  میں یہاں سے آرہا ہوں۔  انتظار کرو۔,9,Ready? I am coming from here. Wait.,7,,
Baylgam,00:02:26.280,جی ہاں,2,Yes.,1,,
Baylgam,00:02:27.520,ہم آپ کے صدقے میں جائیں گے…,7,We will go in your charity…,6,,
Baylgam,00:02:43.280,یہ میری گاڑی ہے۔,4,This is my car.,4,,
Baylgam,00:02:45.640,مجھے لگتا ہے کہ آپ دروازہ کھولنے کی کوشش کر رہے تھے۔,12,I think you were trying to open the door.,9,,
Baylgam,00:02:49.960,مجھے افسوس ہے,3,I am sorry.,3,,
Baylgam,00:03:08.000,مجھے دکھاؤ۔  مجھے دکھاؤ۔,4,Show me. Show me.,4,,
Baylgam,00:03:14.520,اوہ میرے اللہ اتنی خوبصورت ویڈیو۔,6,"Oh my God, such a pretty video.",7,,
Baylgam,00:03:17.240,آپ دیکھیں گے،,3,"You will see,",3,,
Baylgam,00:03:18.280,اس ویڈیو کو اتنے لائکس,5,this video will have so many likes,7,,
Baylgam,00:03:21.600,یہ ویڈیو ضرور وائرل ہو گی۔,6,This video will surely get viral.,6,,
Baylgam,00:03:24.240,آپ نے پچھلی ویڈیو کے بارے میں بھی یہی کہا تھا۔,11,You said the same about the last video.,8,,
Baylgam,00:03:26.880,اس کے صرف 50 لائکس تھے۔,6,It only had 50 likes.,5,,
Baylgam,00:03:28.240,یہ وائرل نہیں ہوا۔,4,It didn’t go viral.,4,,
Baylgam,00:03:31.280,اس کو ضرور لائکس ملے گا,6,This one will surely get likes,6,,
Baylgam,00:03:33.400,اور یہ ضرور وائرل ہوگا۔,5,and this one will surely go viral.,7,,
Baylgam,00:03:36.640,لیکن،,1,"But,",1,,
Baylgam,00:03:38.480,یہ صاحب کسی امیر آدمی کے بگڑے ہوئے چھوکرے کی طرح لگ رہے تھے۔,14,this mister seemed like a spoiled brat,7,,
Baylgam,00:03:42.240,اگر اسے اعتراض ہے,4,"If he has an objection,",5,,
Baylgam,00:03:44.520,کہ ہم نے اس کی اجازت کے بغیر ٹک ٹاک پر ویڈیو اپ لوڈ کی,15,that we uploaded the video on Tik Tok,8,,
Baylgam,00:03:49.440,میں اس کا حل تلاش کروں گا۔,7,I will find a solution for this.,7,,
Baylgam,00:03:52.280,آخر میں,2,"After all,",2,,
Baylgam,00:03:53.800,یہ ویڈیو اتنی آسانی سے اپ لوڈ نہیں کروں گا۔,10,I will not upload this video so easily.,8,,
Baylgam,00:03:56.680,میں اس میں ترمیم کروں گا، ایک اچھا گانا ڈالوں گا،,11,"I will edit it, put a good song it,",9,,
Baylgam,00:03:59.760,میں کچھ ایفیکٹس ڈالوں گا،,5,"I will add some effects,",5,,
Baylgam,00:04:01.800,پھر ویڈیو مکمل طور پر تیار ہو جائے گی۔,9,then the video will be completely ready.,7,,
Baylgam,00:04:04.080,ٹھیک ہے  ٹھیک ہے  اثرات شامل کیے گئے ہیں۔,9,Fine. Fine. The effects have been added.,7,,
Baylgam,00:04:05.880,فلٹر لگا دیا گیا ہے۔  اب آؤ،,7,"The filter has been applied. Now come,",7,,
Baylgam,00:04:09.040,چلو۔  چلو۔,2,Come on. Come on.,4,,
Baylgam,00:05:22.240,دیکھیں,1,See.,1,,
Baylgam,00:05:23.400,آپ کے خیالات پہلے کے مقابلے میں مزید بڑھ رہے ہیں۔,11,Your views are increasing further,5,,
Baylgam,00:05:25.920,آپ جانتے ہیں، مجھے پیغامات مل رہے ہیں۔,8,"You know, I am getting messages.",6,,
Baylgam,00:05:27.800,ہر کوئی کہہ رہا ہے کہ میرا نیا ہیئر اسٹائل،,10,"Everyone is saying that my new hairstyle,",7,,
Baylgam,00:05:31.840,واہ۔  واہ۔  اب دیکھیں,4,"Wow. Wow. Now see,",4,,
Baylgam,00:05:33.800,اگر آپ اس انداز کو فالو کریں گے تو آہستہ آہستہ,11,"if you follow this style, then gradually",7,,
Baylgam,00:05:37.040,اوہ یار، میں,3,"Oh man, I don’t want to increase",7,,
Baylgam,00:05:39.760,میں چاہتا ہوں کہ میں راتوں رات مشہور ہوجاؤں،,9,"I want that I become famous overnight,",7,,
Baylgam,00:05:42.200,لوگ مجھے جانتے ہوں،,4,"people know me,",3,,
Baylgam,00:05:43.920,مجھے نہیں معلوم کہ یہ کب ہوگا، اینی۔,8,"I don’t know when this will happen, Annie.",8,,
Baylgam,00:05:45.920,یہ ہو جائے گا.  یہ بتدریج ہو گا۔,8,It will happen. It will happen gradually.,7,,
Baylgam,00:05:50.520,مجھے امید ہے۔  فنکشن بہت اچھا ہے…,7,I hope so. The function is so good…,8,,
Baylgam,00:05:53.360,اسے دیکھو۔  وہ دیکھو۔  وہ دیکھو۔,6,look at that. Look at that. Look at that.,9,,
Baylgam,00:05:55.680,یار، اینی، میں چاہتا ہوں کہ,6,"Man, Annie, I want that",5,,
Baylgam,00:06:08.320,آپ ہوں گے۔,3,You will be.,3,,
Baylgam,00:06:09.360,آپ اس سے زیادہ ہوں گے۔,6,You will be more than her.,6,,
Baylgam,00:06:10.800,رمشا بس محنت کرتے رہو۔,5,"Ramsha, just keep on working hard.",6,,
Baylgam,00:06:12.400,لیکن اینی، اس کے بہت سے پیروکار ہیں۔,8,"But Annie, she has a lot of followers.",8,,
Baylgam,00:06:15.000,میں چاہتا ہوں کہ میں بھی راتوں رات اتنا مشہور ہو جاؤں،,12,I want that even I become this famous,8,,
Baylgam,00:06:17.600,میرے بھی اتنے فالوورز ہوں۔,5,I too have so many followers.,6,,
Baylgam,00:06:20.640,مجھے نہیں معلوم کہ یہ کب ہوتا ہے۔,8,I don’t know when this happen.,6,,
Baylgam,00:06:22.160,اسے ہر ویڈیو پر ایک ملین ویوز ملتے ہیں۔,9,She gets a million views on every video.,8,,
Baylgam,00:06:26.720,یہ ہو جائے گا.  میں نے کہا تھا کہ محنت کرو۔,11,It will happen. I told you to work hard.,9,,
Baylgam,00:06:28.960,ٹھیک ہے۔,2,Okay.,1,,
Baylgam,00:06:52.000,کیا میں اندر آ سکتا ہوں جناب؟  اندر,8,May I come in sir?,5,,
Baylgam,00:06:53.560,آئیں۔,1,Come in.,2,,
Baylgam,00:06:59.720,صبح بخیر جناب۔,3,Good morning sir.,3,,
Baylgam,00:07:10.000,پلیز مس انعم کو میرے کمرے میں بھیج دیں۔,9,Please send Miss Anum to my room.,7,,
Baylgam,00:07:12.920,شکریہ,1,Thank you.,2,,
Baylgam,00:07:28.800,کیا میں اندر آ سکتا ہوں جناب؟,7,"May I come in, sir?",5,,
Baylgam,00:07:31.000,ہاں آؤ۔,2,"Yes, come.",2,,
Baylgam,00:07:34.280,جی جناب؟,2,"Yes, sir?",2,,
Baylgam,00:07:35.440,مس انعم، میں نے آپ کو,6,"Miss Anum, I had given you",6,,
Baylgam,00:07:38.120,جناب، دراصل میں پچھلے,4,"Sir, actually I was on leaves for the past",9,,
Baylgam,00:07:41.480,آپ ایک کام کریں، مستقل چھٹی لے لیں۔,8,"You do one thing, take permanent leave.",7,,
Baylgam,00:07:45.200,کیا؟,1,What?,1,,
Baylgam,00:07:47.640,میں اپنے دفتر میں ایسے ملازمین نہیں چاہتا،,8,"I don’t want such employees in my office,",8,,
Baylgam,00:07:51.440,یہ واقعی غیر ذمہ دارانہ رویہ ہے۔,7,This is really irresponsible behavior.,5,,
Baylgam,00:07:53.680,آپ پلیز چھوڑ دیں۔,4,You please leave.,3,,
Baylgam,00:07:55.000,لیکن جناب، میں نے قاسم صاحب کو اطلاع دی تھی،,10,"But sir, I had informed sir Qasim,",7,,
Baylgam,00:07:59.160,دیکھو مس انعم،,3,"Look miss Anum,",3,,
Baylgam,00:08:02.040,اور یہ پیشہ ورانہ ماحول ہے۔,6,and this is a professional environment.,6,,
Baylgam,00:08:04.160,میں نہیں چاہتا کہ,4,I don’t it to get ruined,6,,
Baylgam,00:08:07.560,جب میں نے آپ کو بتایا تھا کہ مجھے,9,When I had told you I need the file,9,,
Baylgam,00:08:10.080,تو آپ کی ذمہ داری تھی کہ,7,then it was your responsibility that,6,,
Baylgam,00:08:13.160,آپ کی وجہ سے میرا معاہدہ تاخیر کا شکار ہوا۔,10,Because of you my contract got delayed.,7,,
Baylgam,00:08:15.840,آپ پلیز یہاں سے چلے جائیں۔,6,You please leave from here.,5,,
Baylgam,00:08:18.240,اور ہاں،,2,"And yes,",2,,
Baylgam,00:08:20.280,پاپا کے پاس مت جانا…,5,don’t go to dad…,4,,
Baylgam,00:08:22.120,میرا مطلب ہے مسٹر قاسم۔,5,I mean Mr. Qasim.,4,,
Baylgam,00:08:25.000,اس سے جوڑ توڑ بند کرو۔,6,Stop manipulating him.,3,,
Baylgam,00:08:27.640,یہ میرا آخری فیصلہ ہے۔,5,This is my final decision.,5,,
Baylgam,00:08:29.640,آپ چھوڑ سکتے ہیں۔,4,You may leave.,3,,
Baylgam,00:08:43.360,جی ہاں؟,2,Yes?,1,,
Baylgam,00:08:45.280,ٹھیک ہے,2,Fine.,1,,
Baylgam,00:08:46.720,اسے کانفرنس روم میں بٹھا دیں۔,6,Make him sit in the conference room.,7,,
Baylgam,00:08:56.000,آپ فکر نہ کریں,4,"You don’t worry,",3,,
Baylgam,00:08:58.440,سلام۔,1,Greetings.,1,,
Baylgam,00:09:01.040,ارے تم لوگ یہاں کیوں کھڑے ہو؟,7,"Hey, why are you people standing here?",7,,
Baylgam,00:09:05.160,سلام۔,1,Greetings.,1,,
Baylgam,00:09:06.400,سلام۔  انعم، کیا ہوا؟,4,"Greetings. Anum, what happened?",4,,
Baylgam,00:09:09.280,ارے,1,"Hey,",1,,
Baylgam,00:09:10.720,بچے کیوں رو رہے ہو؟,5,"why are you crying, child?",5,,
Baylgam,00:09:12.560,انعم، کیا ہوا؟,3,"Anum, what happened?",3,,
Baylgam,00:09:15.120,سر افنان نے مجھے نوکری سے نکال دیا۔,8,Sir Afnan fired me from the job.,7,,
Baylgam,00:09:19.560,لیکن کیوں؟,2,But why?,2,,
Baylgam,00:10:00.000,کہاں کھو گئے ہو؟,4,Where are you lost?,4,,
Baylgam,00:10:02.920,کہیں نہیں۔,2,Nowhere.,1,,
Baylgam,00:10:04.800,میں اس ہیرو کی تلاش میں ہوں۔,7,I am searching for that hero.,6,,
Baylgam,00:10:07.040,شاید اتفاق سے مجھے اس کا فیس بک اکاؤنٹ مل جائے۔,11,Maybe I will get his Facebook account,7,,
Baylgam,00:10:09.320,کس کا؟,2,Whose?,1,,
Baylgam,00:10:11.000,ارے وہی جس کی گاڑی سے,6,Hey the same with whose car,6,,
Baylgam,00:10:16.600,اس کا؟,2,His?,1,,
Baylgam,00:10:18.920,ہو سکتا ہے کہ میں اس کا اکاؤنٹ تلاش کرنے میں آپ کی مدد کر سکوں۔,16,Maybe I can help you find his account.,8,,
Baylgam,00:10:23.520,آپ؟,1,You?,1,,
Baylgam,00:10:25.120,آپ میری مدد کیسے کر سکتے ہیں؟,7,How can you help me?,5,,
Baylgam,00:10:26.960,میں کر سکتا ہوں، میں اتنا بیکار نہیں ہوں۔,9,"I can, I am not that useless.",7,,
Baylgam,00:10:29.320,نہیں، نہیں، میرا مطلب ہے کہ آپ میری مدد کیسے کر سکتے ہیں؟,13,No. No. I mean how can you help me?,9,,
Baylgam,00:10:32.280,کیا تم اسے جانتے ہو؟,5,Do you know him?,4,,
Baylgam,00:10:33.800,ظاہر ہے نہیں,3,"Obviously not,",2,,
Baylgam,00:10:35.520,لیکن اس کی گاڑی یونیورسٹی میں تھی,7,"but his car was in the university,",7,,
Baylgam,00:10:37.480,اس لیے یونیورسٹی میں اس کا کوئی نہ کوئی ضرور ہوگا۔,11,so he must have someone,5,,
Baylgam,00:10:41.120,تم ٹھیک کہتے ہو۔,4,You are right.,3,,
Baylgam,00:10:42.680,میں نے یہ کیوں نہیں سوچا؟,6,Why did I not think of that?,7,,
Baylgam,00:10:44.200,وہ یونیورسٹی آتا تو,4,If he came to the university,6,,
Baylgam,00:10:48.840,اس کا مطلب ہے کہ ہم کل یونیورسٹی جائیں گے,10,This means we will go to the university,8,,
Baylgam,00:10:52.760,ہو گیا,2,Done.,1,,
Baylgam,00:10:54.520,ویسے,1,"By the way,",3,,
Baylgam,00:10:55.880,اگر آپ کو اس کی آئی ڈی مل جائے تو کیا,11,"if you find his ID,",5,,
Baylgam,00:10:58.360,ہہ، کس چیز کے لیے معذرت؟,6,"Huh, sorry for what?",4,,
