Drama Name,Timestamp,Urdu Subtitle,Urdu Length,English Subtitle,English Length,Episode,Genre,Episode No#,URL,Sentence No,Timestamps,Urdu Sentence,English Sentence
Besharam,00:00:31.600,طویل عرصے کے بعد جناب طاہر ملک ہمارے ساتھ ہیں,10.0,after a long time Mr. Tahir Malik is here with us,11.0,,,,,,,,
Besharam,,,,,,,,,https://www.youtube.com/watch?v=EGl_UmT-TaI,1.0,00:00:31.600,طویل عرصے کے بعد جناب طاہر ملک ہمارے ساتھ ہیں,after a long time Mr. Tahir Malik is here with us
Besharam,,,,,,,,,https://www.youtube.com/watch?v=EGl_UmT-TaI,2.0,00:00:36.700,ہم نے ان سے ان کے سیاسی کرداروں کے بارے میں بات کی ہے، لیکن اب ہم ان سے ان کی ذاتی زندگی کے بارے میں چند سوالات پوچھتے ہیں۔,"we have talked to him about his political roles, but now let us ask him a few questions about his personal life."
Besharam,,,,,,,,,https://www.youtube.com/watch?v=EGl_UmT-TaI,3.0,00:01:14.200,میرا بھائی جیت گیا ہے!,my brother has won!
Besharam,,,,,,,,,https://www.youtube.com/watch?v=EGl_UmT-TaI,4.0,00:01:19.200,میں آپ کو درست کرتا ہوں کہ,let me correct you
Besharam,,,,,,,,,https://www.youtube.com/watch?v=EGl_UmT-TaI,5.0,00:01:21.800,میں نے تین شادیاں نہیں کیں،,"I haven't married three times, only two"
Besharam,,,,,,,,,https://www.youtube.com/watch?v=EGl_UmT-TaI,6.0,00:01:24.800,پہلی بار صرف دو شادی کی...,the first time I got married...
Besharam,,,,,,,,,https://www.youtube.com/watch?v=EGl_UmT-TaI,7.0,00:01:26.850,میری,I was almost...
Besharam,,,,,,,,,https://www.youtube.com/watch?v=EGl_UmT-TaI,8.0,00:01:29.400,عمر تقریباً سولہ یا سترہ سال کی تھی,sixteen or seventeen years of age
Besharam,,,,,,,,,https://www.youtube.com/watch?v=EGl_UmT-TaI,9.0,00:01:31.500,دوسری شادی میری اپنی مرضی تھی,the second marriage was my own choice
Besharam,,,,,,,,,https://www.youtube.com/watch?v=EGl_UmT-TaI,10.0,00:01:34.400,اور اس وقت تک میں...,"and by that time, I was..."
Besharam,,,,,,,,,https://www.youtube.com/watch?v=EGl_UmT-TaI,11.0,00:01:36.450,اکیس یا بائیس سال کا تھا کہ,twenty-one or twenty-two
Besharam,,,,,,,,,https://www.youtube.com/watch?v=EGl_UmT-TaI,12.0,00:01:39.900,اس کے بارے میں میں یہ کہنا چاہوں گا کہ...,about that I would like to say that...
Besharam,,,,,,,,,https://www.youtube.com/watch?v=EGl_UmT-TaI,13.0,00:01:43.800,کوئی اپنی زندگی میں غلطیاں کرتا ہے,one commit mistakes in their lifetime
Besharam,,,,,,,,,https://www.youtube.com/watch?v=EGl_UmT-TaI,14.0,00:01:47.250,اور ہو سکتا ہے کہ یہ شادی غلطی ہو,and maybe that marriage was a mistake
Besharam,,,,,,,,,https://www.youtube.com/watch?v=EGl_UmT-TaI,15.0,00:01:56.300,بہن حمنہ!,sister Humna!
Besharam,,,,,,,,,https://www.youtube.com/watch?v=EGl_UmT-TaI,16.0,00:02:06.100,کیا ہوا,what happened?
Besharam,,,,,,,,,https://www.youtube.com/watch?v=EGl_UmT-TaI,17.0,00:02:09.950,چچا سکندر بھائی حیدر کسی کی,"uncle Sikander, brother Haider is fighting someone"
Besharam,,,,,,,,,https://www.youtube.com/watch?v=EGl_UmT-TaI,18.0,00:02:12.700,ماں سے لڑ رہے ہیں...,mother...
Besharam,,,,,,,,,https://www.youtube.com/watch?v=EGl_UmT-TaI,19.0,00:02:13.500,کیا ہوا؟,what happened?
