Drama Name,Timestamp,Urdu Subtitle,Urdu Length,English Subtitle,English Length,Episode,Genre,Episode No#,URL,Sentence No,Timestamps,Urdu Sentence,English Sentence
Bharam,00:00:09.440,نہیں، نہیں، آپ کو احساس نہیں ہے کہ یہ اجتماع کتنا اہم ہے۔  میرے تمام دوست آرہے ہیں۔,18.0,"No, no, you don't realize how important this get-together is. All my friends are coming.",15.0,,,,,,,,
Bharam,,,,,,,,,https://www.youtube.com/watch?v=DW4YbFWsCu0,1.0,00:00:52.380,*تلاوت قرآن*,*recitation of Holy Quran*
Bharam,,,,,,,,,https://www.youtube.com/watch?v=DW4YbFWsCu0,2.0,00:01:26.340,*تلاوت قرآن پاک*,*recitation of Holy Quran*
Bharam,,,,,,,,,https://www.youtube.com/watch?v=DW4YbFWsCu0,3.0,00:02:10.610,سجل,Sajjal
Bharam,,,,,,,,,https://www.youtube.com/watch?v=DW4YbFWsCu0,4.0,00:02:14.840,سلام دادا جان!  سلام,Greetings grandpa!
Bharam,,,,,,,,,https://www.youtube.com/watch?v=DW4YbFWsCu0,5.0,00:02:18.120,!,Greetings!
Bharam,,,,,,,,,https://www.youtube.com/watch?v=DW4YbFWsCu0,6.0,00:02:33.480,آپ کی چائے، دادا,"your tea, grandpa"
Bharam,,,,,,,,,https://www.youtube.com/watch?v=DW4YbFWsCu0,7.0,00:02:42.340,سلامت رہیں اور ہمیشہ ایسے ہی مسکراتے رہیں,stay blessed & always keep smiling like this
Bharam,,,,,,,,,https://www.youtube.com/watch?v=DW4YbFWsCu0,8.0,00:02:46.400,اور اپنے دادا کا خون بڑھاتے رہیں,and keep increasing your grandpa's blood
Bharam,,,,,,,,,https://www.youtube.com/watch?v=DW4YbFWsCu0,9.0,00:02:49.120,اس کا کیا فائدہ دادا جان؟,"What's the use of it, grandpa?"
Bharam,,,,,,,,,https://www.youtube.com/watch?v=DW4YbFWsCu0,10.0,00:02:51.020,یہ اخبار پڑھتے ہوئے آپ کا سارا خون ابلتا ہے،,Your entire blood boils while reading this newspaper
Bharam,,,,,,,,,https://www.youtube.com/watch?v=DW4YbFWsCu0,11.0,00:02:54.210,نہیں ایسا نہیں ہے۔  یہ توازن رکھتا ہے.. جس,"No, it doesn't. It balances.."
Bharam,,,,,,,,,https://www.youtube.com/watch?v=DW4YbFWsCu0,12.0,00:02:58.080,طرح سے آپ نے اپنے معمولات کو متوازن رکھا ہے,the way you've kept your routine so balanced
Bharam,,,,,,,,,https://www.youtube.com/watch?v=DW4YbFWsCu0,13.0,00:03:02.520,آپ کہتے ہیں کہ کامیاب وہی ہے جو وقت کے نظم و ضبط پر چلتا ہے،,You say that the person who is successful is the one who follows the discipline of time
Bharam,,,,,,,,,https://www.youtube.com/watch?v=DW4YbFWsCu0,14.0,00:03:07.520,ہاں، وہ وقت کے نظم و ضبط پر چلتے ہیں، لیکن یہ نسل نہیں سنتی,"Yes, they follow the discipline of time, but this generation doesn't listen"
Bharam,,,,,,,,,https://www.youtube.com/watch?v=DW4YbFWsCu0,15.0,00:03:12.580,وہ رات بھر فون پر ٹیکسٹ کرتے رہتے ہیں,They keep texting on the phone the entire night
Bharam,,,,,,,,,https://www.youtube.com/watch?v=DW4YbFWsCu0,16.0,00:03:15.660,اور صبح دیر تک سوتے ہیں،,"And they sleep till late in the morning,"
Bharam,,,,,,,,,https://www.youtube.com/watch?v=DW4YbFWsCu0,17.0,00:03:17.950,اور ہمارے گھر میں اس کی بہترین مثال آپ کی قابل تعریف بہن رمشا,"and the perfect example of this in our house is your admirable sister, Ramsha"
Bharam,,,,,,,,,https://www.youtube.com/watch?v=DW4YbFWsCu0,18.0,00:03:32.290,دادا جیسی نہیں ہے، یہ ہے.  کیا آپ جانتے ہیں، وہ کل رات پوری رات پڑھتی رہی؟,"Grandpa, it's not like that. Do you know, she was studying the entire night last night?"
Bharam,,,,,,,,,https://www.youtube.com/watch?v=DW4YbFWsCu0,19.0,00:03:36.910,ہاں، میں جانتا ہوں۔  کیا,"Yes, I know."
Bharam,,,,,,,,,https://www.youtube.com/watch?v=DW4YbFWsCu0,20.0,00:03:38.510,اس کی ماں اس کی وکالت کرنے کے لیے کافی نہیں ہے؟,isn't her mother enough to advocate her?
Bharam,,,,,,,,,https://www.youtube.com/watch?v=DW4YbFWsCu0,21.0,00:03:42.160,اب تم بھی اس کا احسان کرنے آئے ہو,now you've come too to favor her
Bharam,,,,,,,,,https://www.youtube.com/watch?v=DW4YbFWsCu0,22.0,00:03:46.100,میں نے اس کی بہتری کے لیے اس پر پابندیاں لگا دی ہیں,I put restrictions on her for her betterment
Bharam,,,,,,,,,https://www.youtube.com/watch?v=DW4YbFWsCu0,23.0,00:03:49.510,اگر کل میں مر گیا تو اس کا کیا بنے گا؟,what will happen to her if I die tomorrow?
Bharam,,,,,,,,,https://www.youtube.com/watch?v=DW4YbFWsCu0,24.0,00:03:52.830,تم نے پھر وہی باتیں کرنا شروع کر دی ہیں جو,you've started to talk about the same things again
Bharam,,,,,,,,,https://www.youtube.com/watch?v=DW4YbFWsCu0,25.0,00:03:57.840,میں نے اپنی زندگی گزار دی ہے،,I've spent my life
Bharam,,,,,,,,,https://www.youtube.com/watch?v=DW4YbFWsCu0,26.0,00:04:00.050,اب ہم اللہ سے دعا کرتے ہیں کہ وہ ہماری بیٹیوں کی زندگیوں میں آسانیاں لائے,"Now, we only pray to Allah that He brings ease into our daughters' lives"
Bharam,,,,,,,,,https://www.youtube.com/watch?v=DW4YbFWsCu0,27.0,00:04:05.140,تم نے مجھ سے وعدہ کیا تھا کہ تم موت کے بارے میں بات نہیں کرو گی یا اس لیے,you had promised me that you won't talk about death or so
Bharam,,,,,,,,,https://www.youtube.com/watch?v=DW4YbFWsCu0,28.0,00:04:09.200,میں نے تم سے وعدہ کیا تھا لیکن میں پھر کروں گا،,I had promised you but I will do it again
Bharam,,,,,,,,,https://www.youtube.com/watch?v=DW4YbFWsCu0,29.0,00:04:13.220,ٹھیک ہے، اب یہاں سے میرے لیے یہ اخبار پڑھو،,"okay fine, now read this newspaper for me"
Bharam,,,,,,,,,https://www.youtube.com/watch?v=DW4YbFWsCu0,30.0,00:04:21.250,مجھے مت گھورنا، اسے پکڑو،,"don't stare at me, hold it"
Bharam,,,,,,,,,https://www.youtube.com/watch?v=DW4YbFWsCu0,31.0,00:04:23.560,ارے ایک منٹ,hey one minute...
