Drama Name,Timestamp,Urdu Subtitle,Urdu Length,English Subtitle,English Length,Episode,Genre,Episode No#,URL,Sentence No,Timestamps,Urdu Sentence,English Sentence
Darlings,00:00:58.880,یہ مینڈی کا گھر ہے,5.0,This is Mandy's house,4.0,,,,,,,,
Darlings,,,,,,,,,https://www.youtube.com/watch?v=Gr9UyxQYjO4,1.0,00:00:58.880,یہ مینڈی کا گھر ہے,This is Mandy's house
Darlings,,,,,,,,,https://www.youtube.com/watch?v=Gr9UyxQYjO4,2.0,00:01:01.000,اور یہ مینڈی کون ہے؟,and who is this Mandy?
Darlings,,,,,,,,,https://www.youtube.com/watch?v=Gr9UyxQYjO4,3.0,00:01:03.220,آپ خود دیکھ لیں۔,You should see by yourself.
Darlings,,,,,,,,,https://www.youtube.com/watch?v=Gr9UyxQYjO4,4.0,00:01:10.040,افف،,"Uff,"
Darlings,,,,,,,,,https://www.youtube.com/watch?v=Gr9UyxQYjO4,5.0,00:01:13.040,یہ مصیبت ہے.,this is trouble.
Darlings,,,,,,,,,https://www.youtube.com/watch?v=Gr9UyxQYjO4,6.0,00:01:24.840,اس بے بس کو ایک نہیں بہت سے مسائل درپیش ہیں،,"This helpless got not one, many problems,"
Darlings,,,,,,,,,https://www.youtube.com/watch?v=Gr9UyxQYjO4,7.0,00:01:28.900,پہلی بات یہ,first thing is
Darlings,,,,,,,,,https://www.youtube.com/watch?v=Gr9UyxQYjO4,8.0,00:01:30.240,کہ اسے خود اعتمادی نام کی کوئی چیز نہیں ملی،,"that she got nothing called self-confidence,"
Darlings,,,,,,,,,https://www.youtube.com/watch?v=Gr9UyxQYjO4,9.0,00:01:33.500,دوسری یہ کہ,second
Darlings,,,,,,,,,https://www.youtube.com/watch?v=Gr9UyxQYjO4,10.0,00:01:34.660,وہ خود کوئی فیصلہ نہیں لے سکتی،,"she can't take any decision by herself,"
Darlings,,,,,,,,,https://www.youtube.com/watch?v=Gr9UyxQYjO4,11.0,00:01:37.820,تیسرا یہ کہ وہ کسی بھی وقت کچھ بھی درست نہیں کر سکتی۔,third that she can't do anything right at any time.
Darlings,,,,,,,,,https://www.youtube.com/watch?v=Gr9UyxQYjO4,12.0,00:01:45.980,تم احمق ہو،,"You idiot,"
Darlings,,,,,,,,,https://www.youtube.com/watch?v=Gr9UyxQYjO4,13.0,00:01:47.360,تمہیں کسی نے نہیں بتایا,no one told you
Darlings,,,,,,,,,https://www.youtube.com/watch?v=Gr9UyxQYjO4,14.0,00:01:49.240,کہ دفتر کے کچھ اصول ہوتے ہیں،,"that office has some rules,"
Darlings,,,,,,,,,https://www.youtube.com/watch?v=Gr9UyxQYjO4,15.0,00:01:50.820,یہاں کون آتا ہے اور کون جاتا ہے، کیا ہوتا ہے اور کیا نہیں،,"who comes here and who goes, what happens and what not,"
Darlings,,,,,,,,,https://www.youtube.com/watch?v=Gr9UyxQYjO4,16.0,00:01:54.280,اس بارے میں عملہ اپنا منہ بند رکھے؟,staff should keep their mouth shut about that?
Darlings,,,,,,,,,https://www.youtube.com/watch?v=Gr9UyxQYjO4,17.0,00:01:57.080,میں جانتا ہوں جناب,I know sir
