Drama Name,Episode No#,URL,Sentence No,Start Time,End Time,Urdu Sentence,English Sentence
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,1,00:00:01.240,00:00:13.920,محل کا دل,Dil mahalle ki
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,2,00:00:13.920,00:00:23.530,[موسیقی],[Music]
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,3,00:00:23.530,00:00:28.960,[موسیقی],[Music]
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,4,00:00:28.960,00:00:34.360,حویلی,Haveli
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,5,00:00:34.360,00:00:38.960,میرا دوست مر گیا ہے، گھر سے کوئی فون آئے تو مجھے دوست کہہ دینا,"mar gaye yaar, if you are calling from home then call me yaar"
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,6,00:00:38.960,00:00:42.760,کیا ہوا کہ آپ دوپہر کے کھانے کے لیے گھر پر نہیں تھے۔,"what happened that you didn't come home for lunch,"
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,7,00:00:42.760,00:00:48.240,تم کب آؤ گے، تم اس کے ساتھ رہو گے۔,"when will you come,"
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,8,00:00:48.240,00:00:52.120,میں تمام ای وی میں رسوا ہو جاؤں گا۔,I will be infamous in every way
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,9,00:00:52.120,00:00:54.360,میرے بھائی آپ کو [ __ ] ہونا تھا۔,"my brother, you were bound to get infamous every"
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,10,00:00:54.360,00:00:56.360,ہر روز آپ کسی نہ کسی کو اپنے ساتھ لنچ یا ڈنر پر مدعو کرتے ہیں۔,day you drag someone or the other with you for lunch or
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,11,00:00:56.360,00:00:58.920,مجھے رات کے کھانے پر گھسیٹتے ہوئے,"dinner, you ca"
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,12,00:00:58.920,00:01:02.560,میں اکیلا کچھ نہیں کھا سکتا تو کسی دوست کو لے آؤ,"n't eat anything alone, so bring a friend who will"
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,13,00:01:02.560,00:01:06.440,کسی ایسے شخص کے ساتھ کھانا جو کھانا نہیں بناتا,"cook and eat together, let it be a"
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,14,00:01:06.440,00:01:11.880,ایک لمبی کہانی ہو گی۔,"long story,"
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,15,00:01:11.880,00:01:16.640,ویسے اگر آپ کو کوئی اعتراض نہیں تو آپ کب تک کریں گے۔,"by the way, if you don't mind, after all, how long will you"
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,16,00:01:16.640,00:01:20.920,تم شادی نہیں کرو گے,"not get married, should I"
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,17,00:01:20.920,00:01:25.720,شادی کوئی الگ معاملہ نہیں ہے۔,"talk about something else,"
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,18,00:01:25.720,00:01:29.240,مجھے افسوس ہے، میرا مقصد آپ کو تکلیف پہنچانا تھا۔,"I'm sorry, leave it, my intention was not to hurt you,"
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,19,00:01:29.240,00:01:32.680,میں چھوڑنا نہیں چاہتا تھا۔,leave
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,20,00:01:32.680,00:01:40.530,یہ دیکھو، دوپہر کے کھانے کا وقت بہرحال ختم ہو گیا ہے۔,"it, look, anyway, the lunch time is about to end"
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,21,00:01:40.530,00:01:45.200,[موسیقی],[Music]
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,22,00:01:45.200,00:01:48.120,گدھوں اور گھوڑوں کے لیے کھانا کس نے بھیجا؟,"who has sent this food of donkeys and horses,"
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,23,00:01:48.120,00:01:51.320,یہ یہاں کس بد نیت عورت نے پکایا ہے؟,which woman's ill-intentioned has cooked this
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,24,00:01:51.320,00:01:56.800,کھانا بہت خراب ہے۔,"food, so"
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,25,00:01:56.800,00:02:00.680,یہ پتلا جسم ایک لذت ہے۔,tasteless this thin Sharwa
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,26,00:02:00.680,00:02:06.400,بھینس کا گوشت آلو کے ساتھ ملایا اور یہ,buffalo's potato mixed with Basa Da meat and this
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,27,00:02:06.400,00:02:09.840,دھنیا ڈنٹھل اور گرم مسالہ کے ساتھ,"coriander with sticks and who puts saffron in the garam masala,"
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,28,00:02:13.520,00:02:17.940,دراصل اماں جان نے کھانا پکایا تھا۔,actually Amma Jaan has cooked the food
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,29,00:02:17.940,00:02:22.160,[موسیقی],[Music]
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,30,00:02:22.160,00:02:26.360,دیکھو بو ہم آپ کو اپنے گھر میں چاہتے ہیں۔,"look boo, we are going to welcome you in our house, that's why  Did you bring it with you"
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,31,00:02:26.360,00:02:30.480,کیا تمہارے دادا اسے تمہارے شہر میں لائے تھے؟,Your grandfather
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,32,00:02:30.480,00:02:34.400,خواجہ حسن نظامی کے پڑوس میں رہتے تھے۔,lived in the neighbourhood of Khawaja Hasan Nizami
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,33,00:02:34.400,00:02:37.480,اور جو رنگ آپ پر لگایا گیا تھا وہ ایسا لگتا ہے۔,and the influence of him on you seems to be
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,34,00:02:37.480,00:02:40.360,لگتا ہے نیچے جا رہی ہے لیکن اماں جان,fading away But Amma Jaan
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,35,00:02:40.360,00:02:43.280,میں نے کیا کہا خان,what did I say Khan
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,36,00:02:43.280,00:02:47.240,سماء یہ کیا لفظ ہے جو کہے؟,Sama what kind of word is this? Should one
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,37,00:02:47.240,00:02:49.050,لفظ پہلے تولا جاتا ہے۔,weigh a word before uttering it
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,38,00:02:49.050,00:02:50.680,[موسیقی],[Music] Khan
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,39,00:02:57.640,00:03:01.080,لیکن انگریزوں نے ہماری شان و شوکت کا کوئی نوٹس نہ لیا۔,"Sama was the highest post in Sultan Tipu's court But the British, to humiliate us,"
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,40,00:03:01.080,00:03:05.640,میں نے باورچی سے کہا کہ کھانا کھاؤ,called the cook Khan
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,41,00:03:05.640,00:03:11.640,سماء اور تم چھوٹے بچوں کی طرح ہو، پھر وہی کام کرو,Sama And worthless children like you are repeating the same thing
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,42,00:03:11.640,00:03:16.080,مجھے معاف کر دیں اماں جان,Sorry Amma Jaan Sorry sorry I will
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,43,00:03:18.840,00:03:23.320,معاف کیجیے گا، میں اس طرح کے افسوس ناک الفاظ دوبارہ کبھی نہیں کہوں گا۔,never hear such an unlucky word again
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,44,00:03:23.320,00:03:27.480,سنو اور اگر آئندہ ایسا کھانا میرے سامنے پیش کرو,And in future if such food
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,45,00:03:27.480,00:03:31.040,سب کا وظیفہ رک گیا ہے۔,"comes in front of me, consider everyone's stipend stopped Go away"
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,46,00:03:33.320,00:03:37.760,جا کر روٹیوں سمیت یہ سارا کھانا اس آگ پر پھینک دو,and send all this food along with the rotis with that
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,47,00:03:37.760,00:03:41.000,دو ماہ کی تنخواہ ملازم کے ساتھ بھیجیں اور,servant Pay me his monthly salary and
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,48,00:03:41.000,00:03:43.920,مجھے چھوڑو لیکن اماں جان اس نے صرف ایک دیا ہے۔,leave But Amma Jaan he had only one
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,49,00:03:43.920,00:03:47.520,غریب آدمی سے اس کے وقت کے بارے میں بحث نہ کرو,meal Don't argue with a poor man From
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,50,00:03:47.520,00:03:58.680,اب سے آپ سارا کھانا اندر ڈال دیں۔,now on you should cook all the food yourself
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,51,00:04:00.540,00:04:17.320,[موسیقی],[Music]
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,52,00:04:17.320,00:04:23.640,خیر توپ چلائی جا رہی تھی، کیا ہوا؟,Well the cannon was being fired What happened happened
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,53,00:04:23.640,00:04:27.880,ہوا یہ کہ آپ کے کہنے پر پکایا,What was to happen on your advice that cook
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,54,00:04:27.880,00:04:31.160,معذرت وہ باورچی ہے۔,Sorry that
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,55,00:04:31.160,00:04:34.680,پیا جی,"Paya ji, the cook,"
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,56,00:04:34.680,00:04:38.360,میں نے وہی باوار جی کا پکایا ہوا کھانا کھایا,I got the food cooked by the same Bawar ji
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,57,00:04:38.360,00:04:40.680,اماں نے پلیٹ اس طرح پھینک دی جیسے وہ خدا ہو۔,Amma threw the plate as if God has
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,58,00:04:40.680,00:04:43.120,پتا نہیں اس خستہ حال چیز کا کیا ہوا۔,eaten it I don't know what has happened to me and on top of that she has
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,59,00:04:43.120,00:04:45.600,قیمتی باتیں سنی ہیں۔,scolded
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,60,00:04:45.600,00:04:48.880,ارے بھائی ہم نے آپ کے ساتھ اچھا کیا۔,"me so much Hey brother, I had only"
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,61,00:04:48.880,00:04:52.400,میں نے سوچا کہ میں زیادہ کام کی وجہ سے پریشان ہوں۔,thought about your welfare I used to be worried because of the excess of work
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,62,00:04:52.400,00:04:57.480,میں یہیں رہتا تھا، ہم سمجھتے تھے کہ پاکیہ آ جائے گی۔,I thought that if the cook comes it will be
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,63,00:04:57.480,00:05:00.600,یہ آسان ہو جائے گا، انہوں نے اوپر سے مجھے بتایا,easy On top of that she has
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,64,00:05:00.600,00:05:03.080,آپ کو اسکالرشپ پر بھی طعنہ دیا گیا ہے، آپ کوئی اور کام کرتے ہیں؟,also taunted me about the scholarship Why don't you do some other work
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,65,00:05:05.780,00:05:06.960,[موسیقی],[Music]
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,66,00:05:06.960,00:05:11.920,ارے صفیہ بیگم اماں کے طعنے لے لو,Hey Safia Begum Amma's taunts are not taunts
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,67,00:05:11.920,00:05:15.760,محبت میں طعنے کم ہوتے ہیں۔,They are immersed in love
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,68,00:05:15.760,00:05:19.240,وہ سوچوں میں گم ہیں اور ہمارے پاس کوئی اور کام نہیں ہے۔,and why do we need to do any other work We have our
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,69,00:05:19.240,00:05:22.320,ہمیں اپنے وصی ریز کرنے کی کیا ضرورت ہے۔,own Wasi Rees
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,70,00:05:22.320,00:05:28.480,یہ آپ کا کاروبار ہے، آپ کی ماں کا نہیں۔,business It is not yours It is your mother's
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,71,00:05:30.560,00:05:33.560,صفیہ بیگم میں اور میری والدہ، کوئی بھی دو,Safia Begum We and our mother are not two It is
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,72,00:05:33.560,00:05:40.220,ان کے ساتھ جو ہوا اور ہمارے ساتھ کیا ہوا اس میں تھوڑا فرق ہے، یہ ایک ہی بات ہے۔,theirs and ours It is the same thing
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,73,00:05:40.220,00:05:47.000,[موسیقی],[Music]
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,74,00:05:47.000,00:05:52.000,اے اللہ مجھے معاف کردے یہ پرنسپل ظالم انسان ہے۔,God forgive me this principal is a cruel person He is getting so much
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,75,00:05:52.000,00:05:55.000,اتنے کم پیسے دے کر کتنا کام ہو رہا ہے۔,work done by giving so little money
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,76,00:05:55.000,00:05:58.480,ارے باہر دیکھو یہ ایک گائے کے خانے میں بدل گیا ہے۔,Hey look outside it has become a cowshed
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,77,00:06:00.120,00:06:03.960,کہاں اماں سر جاوید اتنا اچھا ہے روز,Where is Amma Sir Javed is so nice He gets
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,78,00:06:03.960,00:06:06.200,بادام کا شربت گھر سے تیار کر کے لے آئیں,almond sherbet made from his home every day He brings it
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,79,00:06:06.200,00:06:09.040,کیا تمام اساتذہ کے لیے کوئی اچھے بچے ہیں؟,"for all the teachers  These are not good kids,"
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,80,00:06:09.040,00:06:13.040,نہیں وہ بڑا برا آدمی ہے۔,"this man is a very bad man, you should stay"
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,81,00:06:13.040,00:06:16.760,بھاگو، تم ان سے دور رہو,away from him
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,82,00:06:16.760,00:06:20.960,امّاں آپ دور رہیں اور میں پرنسپل ہوں۔,"Amma, stay away, he is the principal, I"
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,83,00:06:20.960,00:06:24.200,میں ایک استاد ہوں، ہمارا تعلق کیا ہے؟,"am a teacher, what is our relation,"
Dil muhallay ki haweli,1,https://www.youtube.com/watch?v=JEKilOwldJc,84,00:06:24.200,00:06:29.760,بیٹا تم بہت سادہ ہو اور دنیا بہت تیز ہے۔,"son, you are very simple and the world is very fast,"
