Drama Name,Timestamp,Urdu Subtitle,Urdu Length,English Subtitle,English Length,Episode,Genre,Episode No#,URL,Sentence No,Timestamps,Urdu Sentence,English Sentence
Hasrat,00:00:12.920,حمزہ کسی بھی لڑکی سے شادی کرتا تو مجھے اس سے کوئی فرق نہیں پڑتا لیکن وہ میری اپنی بہن سے شادی کر رہا ہے۔,25.0,That wouldn't have made any difference to me if Hamza would married to any girl but he is marrying to my own sister.,23.0,,,,,,,,
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,1.0,00:01:05.870,سلام ماں۔,Greetings mom.
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,2.0,00:01:08.090,ماں اٹھو۔,"Mom, get up."
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,3.0,00:01:10.910,میں آپ کے لیے چائے لایا ہوں۔,I have brought tea for you.
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,4.0,00:01:12.890,پلیز جلدی اٹھو۔  پہلے مجھے انسولین کا انجیکشن لگانا ہے پھر آپ چائے پی سکتے ہیں۔,Please get up quickly. First I have to inject insulin then you can take tea.
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,5.0,00:01:16.360,اب ایسا مت کرو۔  آدھے گھنٹے بعد آنا۔,Don't do it now. Come after half an hour.
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,6.0,00:01:20.780,اب انجیکشن لگانا بہتر ہوگا۔,It would be better to inject now.
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,7.0,00:01:25.290,میں ابھی چائے نہیں پینا چاہتا۔  جاؤ، کیا تمہیں کوئی اور کام نہیں ہے؟,"I don't want to take tea now. Go, don't you have any other thing to do?"
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,8.0,00:01:29.240,ماں، مجھے انسولین لگانے دو۔,"Mom, please let me inject insulin."
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,9.0,00:01:30.840,مجھے بچوں کے لیے ناشتہ بنانا ہے اور مجھے آفس بھی جانا ہے۔  مجھے دیر ہو جائے گی۔,I have to make breakfast for children and I also have to go to office. I will get late.
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,10.0,00:01:42.070,کیا بات ہے؟  اسے دفتر جانا پڑتا ہے اس لیے وہ چاہتی ہے کہ ہر کوئی اس کے مشوروں پر عمل کرے۔,What the hell? She has to go to office that's why she wants everyone to act upon her advises.
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,11.0,00:02:29.620,صبح بخیر جناب۔,Good morning sir.
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,12.0,00:02:47.070,ٹھیک ہے جناب، دبئی سے کلائنٹ کی فلائٹ کنفرم ہوتے ہی میں میٹنگ کے لیے لائن لگا دوں گا۔,"Right sir, as soon as client's flight from Dubai is confirmed, I will line up the meeting."
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,13.0,00:02:50.970,جناب فکر نہ کریں، ہم یہ پروجیکٹ حاصل کر لیں گے۔  انشاءاللہ,"Don't worry sir, we will get this project. God willing."
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,14.0,00:02:58.000,سنایا۔  سنایا,Sanaya. Sanaya
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,15.0,00:03:00.310,ٹھیک ہے سر، میں آپ کو واپس کال کروں گا۔,"OK sir, I will call you back."
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,16.0,00:03:02.560,میں آ رہا ہوں۔,I am coming.
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,17.0,00:03:06.780,میں آ رہا ہوں۔  ثنایا سنایا سنایا سنایا,I am coming.
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,18.0,00:03:22.240,کیا بات ہے؟  کیوں چیخ رہے ہو؟,What's the matter? Why are you shouting?
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,19.0,00:03:24.020,یہ دیکھو میری قمیض کا بٹن ڈھیلا پڑ گیا ہے۔  براہ کرم کوئی اور قمیض دبا دیں۔,"Look at this, the button of my shirt is loose. Please press any other shirt."
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,20.0,00:03:28.890,دوسری قمیض دبانے کی ضرورت نہیں، مجھے بٹن ٹھیک کرنے دو۔,"There is no need to press other shirt, let me fix the button."
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,21.0,00:03:35.960,حریم اب کیسا محسوس کر رہی ہے؟,How is Hareem feeling now?
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,22.0,00:03:39.310,وہ اچھا محسوس کر رہی ہے۔  صبح اسے بخار نہیں تھا۔,She is feeling good. She had no fever in the morning.
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,23.0,00:03:41.930,وہ اب سو رہی ہے اس لیے میں نے دوبارہ چیک نہیں کیا۔,She is sleeping now so I didn't check again.
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,24.0,00:03:47.270,تم جانتے ہو، میں بھی نہیں جانا چاہتا۔,"You know, I also don't want to go."
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,25.0,00:03:49.380,لیکن ایک بہت اہم ملاقات ہے ورنہ میں اپنی بیٹی کو چھوڑ کر نہ جاتا۔,But there is a very important important meeting otherwise I wouldn't have gone by leaving my daughter.
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,26.0,00:03:55.600,وہ ان کا خیال رکھتی ہے اور ویسے تمہاری بھابھی بھی وہیں ہیں تو فکر نہ کرو۔,She has been taking care of them and by the way your sister-in-law is also there so don't worry.
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,27.0,00:03:59.530,ہاں لیکن بھابھی کے بھی اپنے بچے ہیں اور اس کے اوپر ہمارے بچے بھی۔,Yes but sister-in-law also have her own children and on top of that our children as well.
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,28.0,00:04:05.400,ماں کی طبیعت ٹھیک نہیں ہے اور وہ بچوں کا خیال نہیں رکھ سکتیں۔,Mom's health is not good and she can't take care of children.
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,29.0,00:04:10.510,یہ طے شدہ ہے۔,It's fixed.
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,30.0,00:04:12.820,جلدی سے نیچے آجاؤ ناشتہ تیار ہے۔  ٹھیک ہے؟,"Come downstairs quickly, breakfast is ready. OK?"
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,31.0,00:04:16.670,اور میرے موزے کہاں ہیں؟,And where are my socks?
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,32.0,00:04:18.530,آپ کے موزے وہاں ہیں، آپ اس کے بارے میں جانتے ہیں۔,"Your socks are there, you know about that."
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,33.0,00:04:21.910,سنو,Listen
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,34.0,00:04:24.510,مجھے تم سے پیار ہے۔,I love you.
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,35.0,00:04:27.510,میں جانتا ہوں کہ تم جھوٹ بولتے ہو۔,I know that you lie.
Hasrat,,,,,,,,,https://www.youtube.com/watch?v=B1Y02iPBM6Y,36.0,00:04:45.580,یہ تھیلے میں نہیں ہے اور وہاں نہیں ہے۔,It's not in the bag and not there.
