Drama Name,Timestamp,Urdu Subtitle,Urdu Length,English Subtitle,English Length,Episode,Genre,Episode No#,URL,Sentence No,Timestamps,Urdu Sentence,English Sentence,Start Time,End Time
Heeramandi,00:00:21.560,زینو، اوہ زینو، تم ابھی تک تیار نہیں ہو۔,9.0,"Zenu, oh Zenu, you are not ready yet.",8.0,,,,,,,,,,
Heeramandi,,,,,,,,,https://www.youtube.com/watch?v=XoPDLbPWis8,1.0,00:00:21.560,زینو، اوہ زینو، تم ابھی تک تیار نہیں ہو۔,"Zenu, oh Zenu, you are not ready yet.",,
Heeramandi,,,,,,,,,https://www.youtube.com/watch?v=XoPDLbPWis8,2.0,00:00:30.800,ماں میرا پورا نام زینت امان ہے۔  ہاں زینت امان تم تیار کیوں نہیں ہو؟  لفراہ،,"Mother, my full name is Zeenat Amaan. Yes, Zeenat Amaan, why are you not ready? Lafrah,",,
Heeramandi,,,,,,,,,https://www.youtube.com/watch?v=XoPDLbPWis8,3.0,00:00:40.280,گاہک کو لے کر آنا ہوگا، تم ہمیشہ دیر کر دیتے ہو۔  یاد رکھیں,"must be bringing the customer, you are always late. Remember",,
Heeramandi,,,,,,,,,https://www.youtube.com/watch?v=XoPDLbPWis8,4.0,00:00:48.840,جب گاہک داخل ہوتے ہیں تو ان کی نظریں فوری طور پر آپ کی شاندار خوبصورتی کی طرف متوجہ ہونی چاہئیں۔  تمام لڑکیاں پہلے ہی باہر ہیں,"When customers enter, their eyes should be immediately drawn to your dazzling beauty. All girls are outside already",,
Heeramandi,,,,,,,,,https://www.youtube.com/watch?v=XoPDLbPWis8,5.0,00:00:54.520,اور آپ ابھی بھی تیار ہو رہی ہیں، کسٹمر آگے بڑھے گا۔  کیوں آگے بڑھیں؟  میں نے لفراح کو 50 روپے دیئے۔  تمہیں کیا ہوا,"and you are still getting ready, Customer will move on. Why move on? I gave Rs.50 to Lafrah. What happened to",,
Heeramandi,,,,,,,,,https://www.youtube.com/watch?v=XoPDLbPWis8,6.0,00:01:02.600,؟  آپ نے اسے گاہک لانے سے پہلے ہی رقم دے دی تھی۔  جب وہ گاہک لاتا ہے تو,"you? You gave him the money even before he brought a customer. When he brings a customer, he",,
Heeramandi,,,,,,,,,https://www.youtube.com/watch?v=XoPDLbPWis8,7.0,00:01:07.080,فوراً اس سے کمیشن مانگتا ہے اور وڈکا پینے کے بجائے۔,immediately ask for his commission and than drink wadka.,,
Heeramandi,,,,,,,,,https://www.youtube.com/watch?v=XoPDLbPWis8,8.0,00:01:12.280,ارے ماں، وہ وڈکا نہیں پیتا، وہ مقامی شراب پیتا ہے۔  وہ صرف,"Hey Mother, he doesn't drink Wadka, he drinks local wine. He just",,
Heeramandi,,,,,,,,,https://www.youtube.com/watch?v=XoPDLbPWis8,9.0,00:01:18.320,دکھاوے کے لیے کہتا ہے کہ وہ وڈکا پیتا ہے اور اماں، میں آپ کو ایک اور بات صاف صاف بتا رہا ہوں،,"says to show off that he drinks Wadka and mother, I am telling you one more thing clearly, there is no need to spend my",,
Heeramandi,,,,,,,,,https://www.youtube.com/watch?v=XoPDLbPWis8,10.0,00:01:23.800,آپ کی بہن پر میرا پیسہ خرچ کرنے کی ضرورت نہیں ہے۔  چندا سے کہو کہ وہ اپنی کمائی کرے، اپنی ماں کا علاج کرائے،,"money on your sister. Tell Chanda to earn her own money, get her mother treated,",,
Heeramandi,,,,,,,,,https://www.youtube.com/watch?v=XoPDLbPWis8,11.0,00:01:28.040,ٹھیک ہے، فضول باتیں مت کرو، وہ چندا کی ماں نہیں، وہ میری حقیقی بہن بھی ہے،,"Okay, don't talk nonsense, she is not Chanda's mother, she is also my real sister, she has the right",,
Heeramandi,,,,,,,,,https://www.youtube.com/watch?v=XoPDLbPWis8,12.0,00:01:34.040,میری کمائی پر اس کا حق ہے۔  آپ خود کماتے ہیں؟  ٹھیک ہے، زیادہ [ __ ] کرنے کی ضرورت نہیں ہے،,"on my earnings. You earn yourself? Okay, there is no need to talk much nonsense,",,
Heeramandi,,,,,,,,,https://www.youtube.com/watch?v=XoPDLbPWis8,13.0,00:01:39.600,ویسے تھوڑا سا میک اپ کرو اور تم مینا کماری سے کم نہیں لگو گی۔,"By the way,  a little make-up and you will look no less than Meena Kumari.",,
Heeramandi,,,,,,,,,https://www.youtube.com/watch?v=XoPDLbPWis8,14.0,00:02:08.560,ارے بابرہ ابھی تک کوئی نہیں آیا۔  کوئی تو ضرور آئے گا,"Hey Babra, no one has come yet. Someone will definitely come",,
Heeramandi,,,,,,,,,https://www.youtube.com/watch?v=XoPDLbPWis8,15.0,00:02:13.490,ارے کس کو ساتھ لے جا رہے ہو؟,"Hey, whom you are taking with you?",,
Heeramandi,,,,,,,,,https://www.youtube.com/watch?v=XoPDLbPWis8,16.0,00:02:21.480,تم نے اپنی پوری زندگی میں ایسا نہیں دیکھا، بس ایک بار اسے دیکھو،,"You have not seen such a thing in your entire life, just see her once,",,
Heeramandi,,,,,,,,,https://www.youtube.com/watch?v=XoPDLbPWis8,17.0,00:02:28.840,ارے لافرے، مجھے معلوم تھا کہ تم آنے والے ہو۔  جناب اس طرف آئیں۔  میں اسے ڈراپ کرنے کے بعد آؤں گا,"Hey Lafray, I knew you were about to come. Sir, come this side. I will come after dropping him",,
Heeramandi,,,,,,,,,https://www.youtube.com/watch?v=XoPDLbPWis8,18.0,00:02:37.040,چلو۔  اسے روکو، وہ امیر لگتا ہے۔,"Come on. Stop him, he seems to be rich. [Singing]",,
Heeramandi,,,,,,,,,https://www.youtube.com/watch?v=XoPDLbPWis8,19.0,00:02:52.600,چندا، تم ابھی تک تیار نہیں ہوئی، مجھے ہر روز یہ کہنا پڑتا ہے، تیار ہو جاؤ،,"Chanda, you are not ready yet, I have to say it every day, get ready,",,
Heeramandi,,,,,,,,,https://www.youtube.com/watch?v=XoPDLbPWis8,20.0,00:02:59.400,چلو، اٹھو۔  کم از کم اپنی ماں کے بارے میں سوچو۔  زینت نے صاف کہہ دیا ہے کہ,"Come on, get up. Atleast think about your mother. Zeenat has clearly said that",,
Heeramandi,,,,,,,,,https://www.youtube.com/watch?v=XoPDLbPWis8,21.0,00:03:05.840,وہ تمہاری ماں کے لیے کما نہیں سکتی اور میں بھی اسے مجبور نہیں کر سکتی۔,she cannot earn for your mother and I too cannot force her.,,
