Drama Name,Timestamp,Urdu Subtitle,Urdu Length,English Subtitle,English Length,Episode,Genre,Episode No#,URL,Sentence No,Timestamps,Urdu Sentence,English Sentence
Jaan Nisar,00:02:02.070,میں نوشیروان غزنوی ہوں۔,4.0,I am Nosherwan Ghaznavi.,4.0,,,,,,,,
Jaan Nisar,,,,,,,,,https://www.youtube.com/watch?v=0TbObX0dyQQ,1.0,00:02:02.070,میں نوشیروان غزنوی ہوں۔,I am Nosherwan Ghaznavi.
Jaan Nisar,,,,,,,,,https://www.youtube.com/watch?v=0TbObX0dyQQ,2.0,00:02:05.300,بابا اور اماں سائیں کا پیارا بیٹا۔,Baba and Amma Saeen’s beloved son.
Jaan Nisar,,,,,,,,,https://www.youtube.com/watch?v=0TbObX0dyQQ,3.0,00:02:08.100,زوار بھائی کی زندگی۔,Brother Zawar’s life.
Jaan Nisar,,,,,,,,,https://www.youtube.com/watch?v=0TbObX0dyQQ,4.0,00:02:10.670,جس نے,Who did what he
Jaan Nisar,,,,,,,,,https://www.youtube.com/watch?v=0TbObX0dyQQ,5.0,00:02:18.730,میں نے ہر خواہش کو پورا کیا،,"I fulfilled every desire,"
Jaan Nisar,,,,,,,,,https://www.youtube.com/watch?v=0TbObX0dyQQ,6.0,00:02:21.070,اور ہر,and made every
Jaan Nisar,,,,,,,,,https://www.youtube.com/watch?v=0TbObX0dyQQ,7.0,00:02:33.000,لیکن ایک وقت ایسا بھی آیا،,"But there also came a time,"
Jaan Nisar,,,,,,,,,https://www.youtube.com/watch?v=0TbObX0dyQQ,8.0,00:02:35.230,جب مجھے,when I had to compromise
Jaan Nisar,,,,,,,,,https://www.youtube.com/watch?v=0TbObX0dyQQ,9.0,00:02:40.100,مجھے ایسی زندگی گزارنی تھی جس کے بارے میں,I had to live a life that
Jaan Nisar,,,,,,,,,https://www.youtube.com/watch?v=0TbObX0dyQQ,10.0,00:02:44.100,صرف اپنی خوشی کی خاطر۔,Only for the sake of
Jaan Nisar,,,,,,,,,https://www.youtube.com/watch?v=0TbObX0dyQQ,11.0,00:02:48.200,میرا ماننا ہے کہ زندگی اکثر,I believe that life often brings
Jaan Nisar,,,,,,,,,https://www.youtube.com/watch?v=0TbObX0dyQQ,12.0,00:02:52.600,جہاں ان کے سامنے کنواں,where they have a well in front
Jaan Nisar,,,,,,,,,https://www.youtube.com/watch?v=0TbObX0dyQQ,13.0,00:02:56.530,لیکن رشتوں کی آزمائشیں,But the trials of relationships
Jaan Nisar,,,,,,,,,https://www.youtube.com/watch?v=0TbObX0dyQQ,14.0,00:02:57.600,ہمیں ایسی گہری دلدل میں دھکیل دیتی ہیں,push us into such deep
Jaan Nisar,,,,,,,,,https://www.youtube.com/watch?v=0TbObX0dyQQ,15.0,00:03:00.500,ہم نکلنا بھی چاہیں تو نہیں نکل سکتے۔,"even if we wish to escape, we cannot."
Jaan Nisar,,,,,,,,,https://www.youtube.com/watch?v=0TbObX0dyQQ,16.0,00:03:04.930,یہ ہماری زندگی نہیں گزر رہی ہے۔,It's not us passing life;
Jaan Nisar,,,,,,,,,https://www.youtube.com/watch?v=0TbObX0dyQQ,17.0,00:03:06.530,بلکہ زندگی ہم سے گزر رہی ہے۔,"rather, life is passing us."
Jaan Nisar,,,,,,,,,https://www.youtube.com/watch?v=0TbObX0dyQQ,18.0,00:03:09.130,اور ایسی زندگی سے فرار,And escaping from such a life
Jaan Nisar,,,,,,,,,https://www.youtube.com/watch?v=0TbObX0dyQQ,19.0,00:04:00.870,دعا۔,Dua.
Jaan Nisar,,,,,,,,,https://www.youtube.com/watch?v=0TbObX0dyQQ,20.0,00:04:09.130,کیا کر رہے ہو؟,What are you doing?
Jaan Nisar,,,,,,,,,https://www.youtube.com/watch?v=0TbObX0dyQQ,21.0,00:04:10.870,کیا,Is this the behavior of
Jaan Nisar,,,,,,,,,https://www.youtube.com/watch?v=0TbObX0dyQQ,22.0,00:04:20.530,یہ,Where is this sound
Jaan Nisar,,,,,,,,,https://www.youtube.com/watch?v=0TbObX0dyQQ,23.0,00:04:22.330,پاپا,Papa.
Jaan Nisar,,,,,,,,,https://www.youtube.com/watch?v=0TbObX0dyQQ,24.0,00:04:24.000,پاپا؟,Papa?
