Drama Name,Timestamp,Urdu Subtitle,Urdu Length,English Subtitle,English Length,Episode,Genre
Jaan Se Pyara Juni,00:00:27.680,تاہم میری ایک شرط ہے۔,5,I do however have one condition.,6,,
Jaan Se Pyara Juni,00:00:30.120,شاید اسے احساس ہوا کہ آپ یہاں خوش نہیں ہیں۔,10,Maybe he realized that you weren’t happy here.,8,,
Jaan Se Pyara Juni,00:00:33.240,یقینی بنائیں کہ آپ تیار ہیں۔,6,Make sure you’re ready.,4,,
Jaan Se Pyara Juni,00:00:34.720,وہ اگلے ہفتے آرہا ہے۔  حسن آرا کی شادی کس,10,He’s coming next week.,4,,
Jaan Se Pyara Juni,00:00:36.360,خاندان میں ہو رہی ہے اس کو سب کو معلوم ہونا چاہیے۔,12,Everyone should know the family into,6,,
Jaan Se Pyara Juni,00:00:53.720,تو کیا سب ٹھیک ہے؟,5,So is everything alright?,4,,
Jaan Se Pyara Juni,00:00:55.240,آپ کے پاس اتنی خوبصورت چھتیں ہیں۔,7,You have such beautiful ceilings.,5,,
Jaan Se Pyara Juni,00:00:57.440,شکریہ,1,Thank you.,2,,
Jaan Se Pyara Juni,00:00:58.320,سلام آنٹی۔,2,Greetings aunty.,2,,
Jaan Se Pyara Juni,00:00:59.320,سلام۔,1,Greetings.,1,,
Jaan Se Pyara Juni,00:01:00.280,کیسی ہو؟,2,How are you?,3,,
Jaan Se Pyara Juni,00:01:00.840,آؤ میرے پاس بیٹھو۔,4,Come sit by me.,4,,
Jaan Se Pyara Juni,00:01:04.360,آپ بہت ساری چیزیں لے کر آئے ہیں۔,8,You’ve brought so many things.,5,,
Jaan Se Pyara Juni,00:01:07.080,اس فارمیلٹی کی کوئی ضرورت نہیں تھی۔,7,There was no need for this formality.,7,,
Jaan Se Pyara Juni,00:01:09.920,یہ کچھ بھی نہیں ہے۔,5,This is nothing.,3,,
Jaan Se Pyara Juni,00:01:12.120,فارس میرا اکلوتا بیٹا ہے…,5,Faris is my only son…,5,,
Jaan Se Pyara Juni,00:01:14.160,تو اس کی شادی,4,"so, his marriage",3,,
Jaan Se Pyara Juni,00:01:15.760,میرے لیے میری زندگی کی سب سے بڑی خوشی ہے۔,10,for me is my life’s greatest happiness.,7,,
Jaan Se Pyara Juni,00:01:18.760,میں بہت پرجوش ہوں کہ مجھے کیا کرنا چاہیے اور کیا نہیں کرنا چاہیے۔,14,I’m so excited that I’m in a total quandary of what I should and should not do.,17,,
Jaan Se Pyara Juni,00:01:23.200,آپ کو جیسا چاہیں کرنا چاہیے۔,6,You should do as you please.,6,,
Jaan Se Pyara Juni,00:01:26.520,میں صرف دعا کرتا ہوں کہ خدا ہمارے,8,I just pray that God destines our,7,,
Jaan Se Pyara Juni,00:01:30.360,آمین۔,1,Amen.,1,,
Jaan Se Pyara Juni,00:01:32.200,میں جانتا ہوں کہ یہ سب کچھ کہتے ہیں اور کسی کو یہ نہیں کہنا چاہئے لیکن خدا کی تعریف ہو……,21,I know it’s something everyone says and one shouldn’t say it but God be praised……,15,,
Jaan Se Pyara Juni,00:01:35.480,میرا بیٹا کامل ہے۔,4,my son is perfect.,4,,
Jaan Se Pyara Juni,00:01:37.440,اسے شادی کے بہت سارے پروپوزل آئے اور بہت سارے لوگ تھے جو دلچسپی لے رہے تھے… لیکن,18,He got so many marriage proposals and there were so many people that were interested……but,15,,
Jaan Se Pyara Juni,00:01:41.840,میرا دل نہیں مان رہا تھا۔,6,my heart just wasn’t convinced.,5,,
Jaan Se Pyara Juni,00:01:45.240,ممی… وہ سب بھول جائیں… کیا,6,Mummy… forget all that…,4,,
Jaan Se Pyara Juni,00:01:47.080,یہ کسی وقت سامنے لانا ہے؟,6,is this anytime to bring this up?,7,,
Jaan Se Pyara Juni,00:01:48.720,اور اس کے علاوہ,4,And besides,2,,
Jaan Se Pyara Juni,00:01:50.000,ہم ایسے ہیں جیسے شادی ہونے والی ہے۔,8,we’re as it is about to get married.,8,,
Jaan Se Pyara Juni,00:01:52.520,تم بالکل ٹھیک کہتے ہو بیٹا۔,6,You’re so right son.,4,,
Jaan Se Pyara Juni,00:01:55.560,اور اس کے علاوہ یہ چیزیں پہلے سے,8,And besides these things are already,6,,
Jaan Se Pyara Juni,00:01:59.760,آپ دونوں کا ایک ساتھ ہونا نصیب ہوا تو یہ کام ہو گیا۔,13,You two were fated to be together so it worked out.,11,,
Jaan Se Pyara Juni,00:02:05.880,اہ… ہاں…,2,Uh… Yes…,2,,
Jaan Se Pyara Juni,00:02:07.160,میں تو بس ایسے ہی کہہ رہا تھا۔,8,I was only saying it like that.,7,,
Jaan Se Pyara Juni,00:02:08.880,اگر میں نے آپ کو ناراض کیا ہے تو، میں واقعی معذرت خواہ ہوں…,14,"If I’ve offended you, I’m really sorry…",7,,
Jaan Se Pyara Juni,00:02:12.720,نہیں، نہیں… لیکن آپ معافی کیوں مانگ رہے ہیں؟,9,"No, no… but why are you apologizing?",7,,
