Drama Name,Timestamp,Urdu Subtitle,Urdu Length,English Subtitle,English Length,Episode,Genre,Episode No#,URL,Sentence No,Timestamps,Urdu Sentence,English Sentence
Jaisey Apki Merzi,00:00:56.820,1948، یہ سال تاریخ میں بہت اہمیت کا حامل ہے,10.0,"1948, this year is very important in the history",9.0,,,,,,,,
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,1.0,00:00:56.820,1948، یہ سال تاریخ میں بہت اہمیت کا حامل ہے,"1948, this year is very important in the history"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,2.0,00:01:03.190,کیونکہ اس سال انسانی حقوق کے اعلامیہ پر دستخط ہوئے,"because this year, human rights declaration was signed"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,3.0,00:01:07.620,مثلاً تحفظ کا حق، صاف پانی کا حق، تعلیم کا حق، پناہ گاہ,"for example, right of security, right for clean water, right of education, shelter"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,4.0,00:01:14.900,اور بہت سے دوسرے حقوق,and a lot many other rights
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,5.0,00:01:16.620,چاہے انسان مرد ہو یا عورت، وہ برابر ہیں,"whether a human is a man or woman, they are equal"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,6.0,00:01:20.880,؟,is it?
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,7.0,00:01:23.010,کیونکہ جب دائیں طرف آتا ہے تو ہم دیکھتے ہیں کہ ایک عورت اس لائن میں بہت دور کھڑی ہے کیا,"because when it comes to the right, then we see a woman standing in this line way too far"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,8.0,00:01:30.370,اسے بہت دور گھسیٹ لیا گیا ہے؟,is she dragged far away?
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,9.0,00:01:33.660,یا وہ سمجھتی ہے کہ لائن میں دور کھڑا ہونا اس کی قسمت میں لکھا ہے؟,or does she considers that its written in her fate to stand far away in the line?
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,10.0,00:01:37.680,وہ نہ صرف دور کھڑے رہنا قبول کرتی ہے بلکہ...,not only she accepts to stand far away but...
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,11.0,00:01:42.440,اگر کوئی دوسری عورت جمود کو توڑ کر آگے بڑھنے کی کوشش کرتی ہے تو اس نے اس کا راستہ بھی روکنے کی کوشش کی,"if another woman tries to go ahead by breaking the status quo, she also tried to block her way too"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,12.0,00:01:49.720,کیونکہ پدرانہ نظام جنس سے مخصوص نہیں ہے۔  پھر ہم کیا کریں؟,because patriarchy is not gender specific. Then what shall we do?
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,13.0,00:01:54.620,آواز اٹھانی چاہیے,one should raise their voice
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,14.0,00:01:57.600,معاشرے کو اپنی سوچ بدلنی ہوگی,the society has to change its thinking
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,15.0,00:02:01.360,کیونکہ کوئی بھی ملک اپنے عوام کی آواز کو پست کرکے کامیاب نہیں ہوسکتا تو,because no country can become successful by lowering the voice of its people
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,16.0,00:02:10.060,پھر ہم کیا کریں؟,so what shall we do then?
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,17.0,00:02:12.180,ہمیں کیا چاہیے؟,what do we need?
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,18.0,00:02:14.190,مساوی مواقع!,equal opportunities!
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,19.0,00:02:19.010,مساوی تعلیم، یکساں کام کے مواقع، اور مساوی اعتماد دیں گے,"equal education, equal work opportunity, and equal trust"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,20.0,00:02:26.770,کیونکہ یہ ہر ایک کو اپنی مرضی کے مطابق زندگی گزارنے کا حق ہے,because its everyone's right to live as per their own will
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,21.0,00:02:30.930,!,will!
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,22.0,00:02:33.170,پتہ نہیں یہ لفظ ہمارے معاشرے کو کیوں ہلا دیتا ہے؟,don't know why this word shakes our society a lot?
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,23.0,00:02:38.450,مرضی / رضامندی بہرحال ایک بنیادی انسانی حق ہے,will/ consent is a basic human right
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,24.0,00:02:43.840,... ہمیں کھڑا ہونا ہے۔  ہمیں اپنی آواز اٹھانی ہوگی,anyways... we have to stand up. We have to raise our voice
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,25.0,00:02:49.910,ہمیں اپنے حقوق کے حصول کے لیے لڑنا ہوگا,We have to fight to get our rights
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,26.0,00:02:53.440,کیونکہ ماضی گواہ ہے کہ,because past is witness
