Drama Name,Timestamp,Urdu Subtitle,Urdu Length,English Subtitle,English Length,Episode,Genre,Episode No#,URL,Sentence No,Timestamps,Urdu Sentence,English Sentence
Jan Sy pyara juni,00:00:27.680,تاہم میری ایک شرط ہے۔,5.0,I do however have one condition.,6.0,,,,,,,,
Jan Sy pyara juni,,,,,,,,,https://www.youtube.com/watch?v=T52F-XMxq_U,1.0,00:00:24.720,اس دنیا کے آٹھ ارب انسانوں میں,Among eight billion people in this world
Jan Sy pyara juni,,,,,,,,,https://www.youtube.com/watch?v=T52F-XMxq_U,2.0,00:00:28.040,اس دنیا میں ایک اور تنہا ہو سکتا ہے…,there could be one more lonely in this world…
Jan Sy pyara juni,,,,,,,,,https://www.youtube.com/watch?v=T52F-XMxq_U,3.0,00:00:31.320,ہر لمحے کا خالی پن یہ سب کچھ,the emptiness of each and every moment
Jan Sy pyara juni,,,,,,,,,https://www.youtube.com/watch?v=T52F-XMxq_U,4.0,00:00:34.360,خود کوئی نہیں اٹھا سکتا تھا۔,No one could have borne all this all on their own.
Jan Sy pyara juni,,,,,,,,,https://www.youtube.com/watch?v=T52F-XMxq_U,5.0,00:00:39.520,اس کمرے کا ہر حصہ تنہا ہے...,Every part of this room is alone…
Jan Sy pyara juni,,,,,,,,,https://www.youtube.com/watch?v=T52F-XMxq_U,6.0,00:00:42.520,...ان دیواروں کی طرح،,"...like these walls,"
Jan Sy pyara juni,,,,,,,,,https://www.youtube.com/watch?v=T52F-XMxq_U,7.0,00:00:44.560,چراغ,the lamp
Jan Sy pyara juni,,,,,,,,,https://www.youtube.com/watch?v=T52F-XMxq_U,8.0,00:00:46.000,اور میں۔,and me.
Jan Sy pyara juni,,,,,,,,,https://www.youtube.com/watch?v=T52F-XMxq_U,9.0,00:01:28.400,یہاں تک کہ تصویریں مجھ سے بات کرتی ہیں اور کہتی ہیں،,"Even the pictures speak to me and say,"
Jan Sy pyara juni,,,,,,,,,https://www.youtube.com/watch?v=T52F-XMxq_U,10.0,00:01:31.840,'ہمارے درمیان تنہا کون ہے، آپ یا میں؟',"‘Who’s lonelier between us, you or me?’"
Jan Sy pyara juni,,,,,,,,,https://www.youtube.com/watch?v=T52F-XMxq_U,11.0,00:01:36.080,یہ منظر خالی پن کا احساس رکھتا ہے۔,The view holds a sense of emptiness.
Jan Sy pyara juni,,,,,,,,,https://www.youtube.com/watch?v=T52F-XMxq_U,12.0,00:01:39.200,...یہاں تک کہ ہر خبر میں خالی پن ہوتا ہے۔,...Even every bit of news holds emptiness.
Jan Sy pyara juni,,,,,,,,,https://www.youtube.com/watch?v=T52F-XMxq_U,13.0,00:01:47.520,خالی کرسیوں سے گھری ایک میز پر,On a table surrounded by empty chairs
Jan Sy pyara juni,,,,,,,,,https://www.youtube.com/watch?v=T52F-XMxq_U,14.0,00:01:52.120,اکیلا جگ ہے…,there’s a lone jug…
