Drama Name,Timestamp,Urdu Subtitle,Urdu Length,English Subtitle,English Length,Episode,Genre
Maa Nahi Saas Hoon Mai,00:00:27.160,خالی ہاتھ کیوں آئے؟,4,Why did you come emptyhanded?,5,,
Maa Nahi Saas Hoon Mai,00:00:37.000,فائل کہاں ہے؟,3,Where is the file?,4,,
Maa Nahi Saas Hoon Mai,00:00:48.000,سلمان میں تم سے پوچھ رہا ہوں۔,7,"Salman, I am asking you.",5,,
Maa Nahi Saas Hoon Mai,00:00:50.760,کیا ہوا؟,2,What happened?,2,,
Maa Nahi Saas Hoon Mai,00:00:56.640,کیا عروج نے دستخط کرنے سے انکار کر دیا؟,9,Did Arooj refuse to sign?,5,,
Maa Nahi Saas Hoon Mai,00:01:00.240,وہ واقعی چالاک ہے،,4,"She is really cunning,",4,,
Maa Nahi Saas Hoon Mai,00:01:01.880,اس نے پڑھا ہوگا کہ,5,she must have read that,5,,
Maa Nahi Saas Hoon Mai,00:01:03.480,ایسا نہیں ہے بابا۔,4,"It is not like that, dad.",6,,
Maa Nahi Saas Hoon Mai,00:01:11.160,وہ مجھ پر پورا بھروسہ کر رہی تھی،,8,"She was trusting me completely,",5,,
Maa Nahi Saas Hoon Mai,00:01:12.920,لیکن وہ وسائی,3,but that Wasai came at,5,,
Maa Nahi Saas Hoon Mai,00:01:16.760,سب کچھ ادھورا رہ گیا۔,5,everything was left incomplete.,4,,
Maa Nahi Saas Hoon Mai,00:01:20.280,تو…,1,So…,1,,
Maa Nahi Saas Hoon Mai,00:01:21.560,تو، اب؟,2,"so, now?",2,,
Maa Nahi Saas Hoon Mai,00:01:28.560,عروج واقعی بہت اچھی قسمت ہے۔,6,That Arooj has really good luck.,6,,
Maa Nahi Saas Hoon Mai,00:01:30.960,اب مجھے وہ فائل نہیں مل رہی۔  کیا,8,Now I cannot find that file.,6,,
Maa Nahi Saas Hoon Mai,00:01:41.680,آپ فائل نہیں ڈھونڈ سکتے؟,5,You cannot find the file?,5,,
Maa Nahi Saas Hoon Mai,00:01:51.840,یہ کیسے ممکن ہے؟,4,How is that possible?,4,,
Maa Nahi Saas Hoon Mai,00:01:54.360,جا کر دوبارہ تلاش کریں۔,5,Go and search again.,4,,
Maa Nahi Saas Hoon Mai,00:01:57.440,میں نے گھر کے چاروں طرف تلاشی لی،,8,"I have searched all around the home,",7,,
Maa Nahi Saas Hoon Mai,00:03:06.840,میں اس کاروبار، جائیداد، دولت کا مالک ہوں,8,"I am the owner of this business,",7,,
Maa Nahi Saas Hoon Mai,00:03:14.760,اور مجھے,2,and I have found out about,6,,
Maa Nahi Saas Hoon Mai,00:03:21.040,اس لیے میرا آپ کو مشورہ ہے کہ,8,So my advice to you is stop,7,,
Maa Nahi Saas Hoon Mai,00:03:28.080,میرے پاس,2,It is just a matter of me,7,,
Maa Nahi Saas Hoon Mai,00:03:32.880,میں تمہارا پچیس سالہ منصوبہ، منٹوں میں برباد کر دوں گا۔,11,"I will ruin your twenty five year plan,",8,,
Maa Nahi Saas Hoon Mai,00:03:43.280,چنانچہ میں نے جو کہا اس کا نتیجہ یہ نکلا کہ,11,"So, the result of what I said was that",9,,
Maa Nahi Saas Hoon Mai,00:03:47.160,اپنے شوہر، بیٹی اور ماں سے دور رہو۔,8,"stay away from my husband,",5,,
Maa Nahi Saas Hoon Mai,00:03:52.960,یہ تمہارے لیے بہتر ہے۔,5,This is better for you.,5,,
Maa Nahi Saas Hoon Mai,00:05:33.200,سلمان،,1,"Salman,",1,,
Maa Nahi Saas Hoon Mai,00:05:36.040,میں آج بہت خوش ہوں۔,5,I am really happy today.,5,,
Maa Nahi Saas Hoon Mai,00:05:38.920,ٹھیک ہے،,2,"Okay,",1,,
Maa Nahi Saas Hoon Mai,00:05:40.480,واقعی؟,1,really?,1,,
Maa Nahi Saas Hoon Mai,00:05:42.240,جی ہاں,2,Yes.,1,,
Maa Nahi Saas Hoon Mai,00:05:45.480,جب بھی آپ مجھے پیار سے دیکھتے ہیں،,8,"Every time you look at me with love,",8,,
Maa Nahi Saas Hoon Mai,00:05:48.680,مجھے لگتا ہے کہ میرے پاس دنیا کی تمام خوشیاں ہیں۔,11,I feel I have all the happiness,7,,
Maa Nahi Saas Hoon Mai,00:05:54.480,پھر ٹھیک ہے،,3,"Then fine,",2,,
Maa Nahi Saas Hoon Mai,00:05:56.520,میں تمہاری خوشی میں مزید اضافہ کروں گا۔,8,I will increase your happiness,5,,
Maa Nahi Saas Hoon Mai,00:06:01.160,ٹیکسٹائل مل چچا وقار نے,5,The textile mill uncle Waqar thought,6,,
Maa Nahi Saas Hoon Mai,00:06:06.720,اب میں وہ پروجیکٹ مکمل کروں گا,7,"now, I will complete that project",6,,
Maa Nahi Saas Hoon Mai,00:06:10.280,اور یہ ہماری بیٹی کے نام ہوگا۔,7,and it will be in our daughter’s name.,8,,
Maa Nahi Saas Hoon Mai,00:06:13.640,آریج ٹیکسٹائل۔,2,Areej Textile.,2,,
Maa Nahi Saas Hoon Mai,00:06:16.040,واہ، یہ واقعی ایک اچھی خبر ہے۔,7,"Wow, this is a really good news.",7,,
Maa Nahi Saas Hoon Mai,00:06:21.120,کیا آپ خوش ہیں؟,4,Are you happy?,3,,
Maa Nahi Saas Hoon Mai,00:06:24.840,تم خوش ہو تو,4,"You are happy,",3,,
Maa Nahi Saas Hoon Mai,00:06:33.040,تو پھر بتاؤ,3,"So, then tell me,",4,,
Maa Nahi Saas Hoon Mai,00:06:35.280,تمہیں شاپنگ کیسی لگی؟,4,how did you like shopping?,5,,
Maa Nahi Saas Hoon Mai,00:06:39.080,آپ واقعی اچھے ہیں۔,4,You are really good.,4,,
Maa Nahi Saas Hoon Mai,00:06:42.440,آپ بھی واقعی بہت اچھے ہیں۔,6,You too are really good.,5,,
Maa Nahi Saas Hoon Mai,00:06:49.600,ہم نے اتنے عرصے بعد ایک ساتھ اتنا اچھا وقت گزارا۔,11,We spent such good time together,6,,
Maa Nahi Saas Hoon Mai,00:06:53.600,مجھے واقعی یہ پسند آیا۔,5,I really liked it.,4,,
Maa Nahi Saas Hoon Mai,00:06:55.440,مجھے بھی۔,2,Me too.,2,,
Maa Nahi Saas Hoon Mai,00:06:57.320,اب جلدی سے اس فائل پر دستخط کریں،,8,"Now quickly sign this file,",5,,
Maa Nahi Saas Hoon Mai,00:06:59.240,تاکہ آریج ٹیکسٹائل پر کام,5,so that the work on Areej textile,7,,
Maa Nahi Saas Hoon Mai,00:07:02.040,ہاں، تو بتاؤ،,3,"Yes, so tell me,",4,,
Maa Nahi Saas Hoon Mai,00:07:04.720,ٹھیک ہے، تم یہ کرو.,5,"Fine, you do it.",4,,
Maa Nahi Saas Hoon Mai,00:07:07.720,یہ ہے قلم۔,3,Here is the pen.,4,,
Maa Nahi Saas Hoon Mai,00:07:50.120,سلمان،,1,"Salman,",1,,
Maa Nahi Saas Hoon Mai,00:07:54.120,کیا آپ کو دستاویزات مل گئیں؟,6,did you find the documents?,5,,
Maa Nahi Saas Hoon Mai,00:07:56.680,نہیں، میں نے پورا گھر تلاش کیا۔,7,"No, I searched the whole home.",6,,
Maa Nahi Saas Hoon Mai,00:08:00.440,ویسے سلمان،,2,"By the way, Salman,",4,,
Maa Nahi Saas Hoon Mai,00:08:02.760,آپ,1,when will you start working,5,,
Maa Nahi Saas Hoon Mai,00:08:07.720,عروج تم آج ہی سائن کر دو میں,8,"Arooj, you sign it today,",5,,
Maa Nahi Saas Hoon Mai,00:08:24.400,ہاں، تو مجھے فائل دے دو،,6,"Yes, so give me the file,",6,,
Maa Nahi Saas Hoon Mai,00:08:27.720,میں اسے تلاش کرنے سے قاصر ہوں۔  میں,8,I am unable to find it. I searching,8,,
Maa Nahi Saas Hoon Mai,00:08:31.480,اوہ۔,1,Oh.,1,,
Maa Nahi Saas Hoon Mai,00:08:33.320,یہ مجھے یاد دلاتا ہے کہ,6,"That reminds me,",3,,
Maa Nahi Saas Hoon Mai,00:08:35.040,جب میں کاغذات پر دستخط کر رہا تھا,8,when I was signing the documents,6,,
Maa Nahi Saas Hoon Mai,00:08:42.640,تو مجھے لگا کہ میں نے کاغذات,7,then I felt that I took the documents,8,,
Maa Nahi Saas Hoon Mai,00:08:47.080,ہو سکتا ہے، لیکن مجھے یقین نہیں ہے۔,8,"Maybe, but I am not sure.",6,,
Maa Nahi Saas Hoon Mai,00:08:49.600,تو، میں ایک کام کروں گا، میں,7,"So, I will do one thing, I will go",9,,
Maa Nahi Saas Hoon Mai,00:08:51.720,تم انتظار کرو۔  یہاں آرام سے بیٹھو۔,7,You wait. Sit here comfortably.,5,,
Maa Nahi Saas Hoon Mai,00:08:54.520,میں لے آؤں گا۔,4,I will bring it.,4,,
Maa Nahi Saas Hoon Mai,00:09:19.600,شکریہ، عروج۔,2,"Thank you, Arooj.",3,,
Maa Nahi Saas Hoon Mai,00:09:25.960,میں جانتا ہوں، ماں اور باپ آپ کو پسند نہیں کرتے۔,11,"I know, mom and dad don’t like you.",8,,
Maa Nahi Saas Hoon Mai,00:09:29.760,لیکن میں تمہیں اور خالہ مہرین کو,7,But I will give you and aunt Mehreen,8,,
Maa Nahi Saas Hoon Mai,00:09:36.600,اور آپ کی بیٹی؟,4,and your daughter?,3,,
Maa Nahi Saas Hoon Mai,00:09:40.200,کیا یہ بھی کوئی پوچھنے والی چیز ہے؟,8,Is this even something to ask?,6,,
Maa Nahi Saas Hoon Mai,00:09:43.160,میں اس کے لیے اپنی جان دے دوں گا۔,9,I will give my life for her.,7,,
Maa Nahi Saas Hoon Mai,00:10:43.840,تم جھوٹے ہو۔,3,You are a liar.,4,,
Maa Nahi Saas Hoon Mai,00:10:50.560,صرف جھوٹا ہی نہیں،,4,"Not just a liar,",4,,
Maa Nahi Saas Hoon Mai,00:10:54.160,!,1,Arooj!,1,,
Maa Nahi Saas Hoon Mai,00:10:55.040,اپنی آواز نیچی کرو,4,"Lower your voice,",3,,
Maa Nahi Saas Hoon Mai,00:11:01.160,تم نے مجھ سے جھوٹی محبت کا اظہار کیا۔,9,you showed false love to me.,6,,
Maa Nahi Saas Hoon Mai,00:11:04.960,تم نے ماما سے جھوٹی معافی مانگی،,7,"You made a fake apology to mama,",7,,
Maa Nahi Saas Hoon Mai,00:11:07.440,اور اب…,2,and now…,2,,
Maa Nahi Saas Hoon Mai,00:11:14.520,مجھے یقین ہے کہ آپ,5,I am sure you are lying,6,,
Maa Nahi Saas Hoon Mai,00:11:20.440,آپ نے کیا سوچا؟  ہہ؟,5,What did you think? Huh?,5,,
Maa Nahi Saas Hoon Mai,00:11:22.160,آپ نے کیا سوچا؟,4,What did you think?,4,,
Maa Nahi Saas Hoon Mai,00:11:26.400,میں نے وہ سارے پیپر پڑھے ہیں,7,"I have read all those papers,",6,,
Maa Nahi Saas Hoon Mai,00:11:45.400,آپ کیا کریں گے؟,4,What will you do?,4,,
Maa Nahi Saas Hoon Mai,00:11:48.800,اس دولت کا کیا کرو گے؟,6,What will you do with this wealth?,7,,
Maa Nahi Saas Hoon Mai,00:11:55.960,کیا یہ سب,3,Is all this more precious,5,,
Maa Nahi Saas Hoon Mai,00:12:46.360,اسے کیسے پتہ چلا؟,4,How did she find out?,5,,
Maa Nahi Saas Hoon Mai,00:13:00.920,کیا ہوا؟,2,What happened?,2,,
Maa Nahi Saas Hoon Mai,00:13:03.440,عروج,1,"Arooj, the file that",4,,
Maa Nahi Saas Hoon Mai,00:13:06.000,وہ میرے کمرے میں تھی۔,5,it was in my room.,5,,
Maa Nahi Saas Hoon Mai,00:13:07.720,ہاں ہاں،,2,"Yes, yes,",2,,
Maa Nahi Saas Hoon Mai,00:13:09.320,تو کیا ہوا؟,3,so what happened?,3,,
Maa Nahi Saas Hoon Mai,00:13:11.960,میں نے اس پر دستخط کر دیے تھے۔,8,I had signed it.,4,,
Maa Nahi Saas Hoon Mai,00:13:14.640,ہاں مگر ایک کاغذ رہ گیا تھا۔,7,"Yes, but one paper was left.",6,,
Maa Nahi Saas Hoon Mai,00:13:18.280,تو آؤ، دے دو،,4,"So, come on, give it,",5,,
Maa Nahi Saas Hoon Mai,00:13:21.160,آپ اس پر کیسے دستخط کریں گے؟  اگر مجھے مل جائے تو,12,"How will you sign it? If I find it,",9,,
Maa Nahi Saas Hoon Mai,00:13:22.960,میں نے سارا گھر دیکھا ہے،,6,"I have seen the entire home,",6,,
Maa Nahi Saas Hoon Mai,00:13:25.120,ارے یہ تو ہمارا اپنا گھر ہے،,7,"Hey, so it is our own home,",7,,
Maa Nahi Saas Hoon Mai,00:13:27.560,ڈھونڈ لیں گے۔,3,we will find it.,4,,
Maa Nahi Saas Hoon Mai,00:13:29.680,ویسے,1,"By the way,",3,,
Maa Nahi Saas Hoon Mai,00:13:31.600,میں نے آج سے پہلے تمہیں کسی چیز کے لیے اتنا بے چین نہیں دیکھا۔,15,I have not seen you so restless,7,,
Maa Nahi Saas Hoon Mai,00:14:05.320,کیا ہوا؟   کیا,3,What happened?,2,,
Maa Nahi Saas Hoon Mai,00:14:07.680,کیا اس نے اس پر دستخط کیے؟,7,Did she sign it?,4,,
Maa Nahi Saas Hoon Mai,00:14:16.560,کیا سب ٹھیک ہے؟  کیا ہوا؟,6,Is all okay? What happened?,5,,
Maa Nahi Saas Hoon Mai,00:14:23.960,عروج نے حقیقت جان لی۔,5,Arooj has found out the reality.,6,,
Maa Nahi Saas Hoon Mai,00:14:46.160,اب میں,2,Now I will not tolerate both,6,,
Maa Nahi Saas Hoon Mai,00:14:49.160,سلمان کوشش کر کے سمجھو,5,"Salman, try and understand,",4,,
Maa Nahi Saas Hoon Mai,00:14:51.320,اس طرح سب کچھ,4,"this way, everything will get",5,,
Maa Nahi Saas Hoon Mai,00:14:54.400,کوئی بات نہیں کہ کیا ہوا.,6,No matter what happened.,4,,
Maa Nahi Saas Hoon Mai,00:14:57.360,لیکن میں اپنی توہین برداشت نہیں کروں گا۔,8,but I will not tolerate my insult.,7,,
Maa Nahi Saas Hoon Mai,00:15:04.800,میں ان دونوں کو,4,I cannot see both of them,6,,
