Drama Name,Timestamp,Urdu Subtitle,Urdu Length,English Subtitle,English Length,Episode,Genre,Episode No#,URL,Sentence No,Timestamps,Urdu Sentence,English Sentence,Start Time,End Time
Main Na Janoo,00:00:39.930,دیکھو اس کی پرورش کیسے ہوئی۔,6.0,See how she was raised.,5.0,,,,,,,,,,
Main Na Janoo,,,,,,,,,https://www.youtube.com/watch?v=WdWfj93H-9M,1.0,00:00:39.930,دیکھو اس کی پرورش کیسے ہوئی۔,See how she was raised.,,
Main Na Janoo,,,,,,,,,https://www.youtube.com/watch?v=WdWfj93H-9M,2.0,00:00:42.930,اس نے نہات کو فون کیا حالانکہ اس کا شوہر ہے۔,She called Nihaat even though she has a husband.,,
Main Na Janoo,,,,,,,,,https://www.youtube.com/watch?v=WdWfj93H-9M,3.0,00:00:45.400,نین یہ کیسے برداشت کر سکتی تھی۔,How could have Nain tolerated that?,,
Main Na Janoo,,,,,,,,,https://www.youtube.com/watch?v=WdWfj93H-9M,4.0,00:00:47.000,بیچارہ نین نابینا ہے لیکن اس کا نحہات پر بھی بہت اثر ہے..,Poor Nain is blind but she has a lot of effect on Nihaat as well..,,
Main Na Janoo,,,,,,,,,https://www.youtube.com/watch?v=WdWfj93H-9M,5.0,00:00:50.530,یہ سب نہات کا قصور ہے!,It’s all Nihaats fault!,,
Main Na Janoo,,,,,,,,,https://www.youtube.com/watch?v=WdWfj93H-9M,6.0,00:00:52.900,نہات وہاں کیوں جاتی تھی؟,Why did Nihaat used to go there?,,
Main Na Janoo,,,,,,,,,https://www.youtube.com/watch?v=WdWfj93H-9M,7.0,00:00:54.230,آپ مجھ سے ایسا کیوں پوچھ رہے ہیں؟,Why are you asking me that?,,
Main Na Janoo,,,,,,,,,https://www.youtube.com/watch?v=WdWfj93H-9M,8.0,00:00:55.730,اپنی بیٹی سے پوچھو!,Ask your daughter!,,
Main Na Janoo,,,,,,,,,https://www.youtube.com/watch?v=WdWfj93H-9M,9.0,00:00:57.870,نہات اس کے پاس کیوں جاتی تھی؟,Why did Nihaat used to go to her?,,
Main Na Janoo,,,,,,,,,https://www.youtube.com/watch?v=WdWfj93H-9M,10.0,00:00:59.870,شادی شدہ ہوتے ہوئے بھی جب وہ اس کے پاس جاتا تھا تو کیا کرتا تھا۔,"Even while being married, what did he used to do when he used to go to her?",,
Main Na Janoo,,,,,,,,,https://www.youtube.com/watch?v=WdWfj93H-9M,11.0,00:01:07.730,سائرہ بتاؤ نحہات کیوں آتی تھی؟,"Tell me Saira, why did Nihaat used to come?",,
Main Na Janoo,,,,,,,,,https://www.youtube.com/watch?v=WdWfj93H-9M,12.0,00:01:12.000,میں اسے فون نہیں کرتا تھا۔  وہ اسے تنگ کرتا تھا۔,I didn’t used to call him. He used to bother him.,,
Main Na Janoo,,,,,,,,,https://www.youtube.com/watch?v=WdWfj93H-9M,13.0,00:01:15.570,وہ کیا کہا کرتا تھا۔,What did he used to say?,,
