Drama Name,Timestamp,Urdu Subtitle,Urdu Length,English Subtitle,English Length,Episode,Genre,Episode No#,URL,Sentence No,Timestamps,Urdu Sentence,English Sentence
Mannat Murad,00:00:25.320,منت، اپنے آپ کو پکڑو۔,5.0,"Mannat, get a grip on yourself.",6.0,,,,,,,,
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,1.0,00:01:41.000,کہاں ہو یار؟,"Where are you, man?"
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,2.0,00:01:49.960,اتنا عرصہ ہو گیا ہے۔  چلو، اب۔,"It has been so long. Come on, now."
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,3.0,00:02:00.840,اب انتظار مشکل ہوتا جا رہا ہے,Now waiting is becoming difficult
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,4.0,00:02:04.360,اور آج بھی تم نہ آئے تو میں...,"and even if you don’t come today, then I…"
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,5.0,00:02:57.320,یا اللہ میں مر گیا ہوں۔,"Oh God, I am dead."
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,6.0,00:03:02.760,کیا ہوا ماما؟,"What happened, mama?"
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,7.0,00:03:04.440,ماما,Mama.
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,8.0,00:03:09.000,ماما,Mama.
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,9.0,00:03:10.720,نیچے آؤ، وہ گر گئی۔,"Come downstairs, she fell."
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,10.0,00:03:12.600,وہ کیسے گر گئی؟,How did she fall?
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,11.0,00:03:15.360,مجھے کیسے پتہ چلے گا، میں سو رہا تھا۔,"How would I know, I was sleeping."
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,12.0,00:03:17.560,میں نے تم سے کہا تھا ماما کے پاس رہو۔,I had told you stay with mama.
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,13.0,00:03:19.720,ہر وقت؟,All the time?
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,14.0,00:03:21.680,کیا آپ کو چوٹ لگی؟,Did you get hurt?
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,15.0,00:03:23.440,کیا ہوا تھا؟,What had happened?
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,16.0,00:03:26.200,کیا ہوتا۔,What would happen.
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,17.0,00:03:28.120,میں چوتھے قدم پر پہنچا،,"I reached the fourth step,"
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,18.0,00:03:31.600,میری آنکھوں کے سامنے اندھیرا چھا گیا۔,I had darkness in front of my eyes.
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,19.0,00:03:37.880,ماما بار بار اوپر جانے کی کیا ضرورت ہے۔,"Mama, what is the need to go"
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,20.0,00:03:40.920,تم جانتے ہو بھائی الارم لگا کر سوتا ہے۔,You know brother sets an alarm and sleeps.
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,21.0,00:03:43.240,پھر بھی، تم اسے جگانے جاؤ۔,"Still, you go to wake him up."
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,22.0,00:03:45.640,ماما، نگی ٹھیک کہتی ہیں،,"Mama, Niggi is right,"
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,23.0,00:03:48.320,میری سکول اور کالج جانے کی عمر,My age to go to school and
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,24.0,00:03:50.520,اب میں دفتر جاتا ہوں۔,Now I go to the office.
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,25.0,00:03:52.360,مجھے اپنی ذمہ داری کا احساس ہے۔,I realize my responsibility.
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,26.0,00:03:56.080,میں اچھی طرح جانتا ہوں کہ تم بہت بڑے ہو گئے ہو۔,I know well that you have grown up a lot.
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,27.0,00:03:59.920,لیکن جب آدمی صبح سویرے اٹھ کر,But when person wakes up early in the morning
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,28.0,00:04:04.400,اور ان کی دعائیں لے تو کام بہتر ہو جاتا ہے۔,"and takes her prayers, then the work gets better."
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,29.0,00:04:08.520,چوہدری صاحب,"Mr. Chaudary,"
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,30.0,00:04:10.640,یہ میری دعاؤں کا نتیجہ ہے کہ,it is the result of my prayers that
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,31.0,00:04:18.040,تمہارے دس بچے بھی ہوں تو,"Even if you have ten children,"
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,32.0,00:04:20.440,میں صبح آکر تمہیں جگا دوں گا۔,I will come and wake you up in the morning.
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,33.0,00:04:23.360,اس طرح اس کے کبھی دس بچے نہیں ہوں گے۔,This way he will never have ten children.
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,34.0,00:04:27.160,کہاں جا رہے ہو؟,Where are you going?
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,35.0,00:04:29.600,کہاں جا رہے ہو؟,Where are you going?
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,36.0,00:04:33.160,اس پر بہت سی کریم ڈالیں۔,Add a lot of cream on it.
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,37.0,00:04:35.560,ماما میں چھاچھ نہیں پیوں گا۔,"Mama, I will not drink buttermilk."
Mannat Murad,,,,,,,,,https://www.youtube.com/watch?v=jL33r-ohE_4,38.0,00:04:37.520,میں روز صبح پہلے چھاچھ پی کر تھک گیا ہوں۔,I am tired of drinking buttermilk first
