Drama Name,Timestamp,Urdu Subtitle,Urdu Length,English Subtitle,English Length,Episode,Genre,Episode No#,URL,Sentence No,Timestamps,Urdu Sentence,English Sentence
Me Kahani Hun S1,00:00:28.140,It'll be general questions,4.0,It'll be general questions,4.0,,,,,,,,
Me Kahani Hun S1,,,,,,,,,https://www.youtube.com/watch?v=a3MCTqqp4F0,1.0,00:00:28.140,It'll be general questions,It'll be general questions
Me Kahani Hun S1,,,,,,,,,https://www.youtube.com/watch?v=a3MCTqqp4F0,2.0,00:00:32.840,It'll be what's actually going on,It'll be what's actually going on
Me Kahani Hun S1,,,,,,,,,https://www.youtube.com/watch?v=a3MCTqqp4F0,3.0,00:00:39.260,Come on.,Come on.
Me Kahani Hun S1,,,,,,,,,https://www.youtube.com/watch?v=a3MCTqqp4F0,4.0,00:00:43.300,"Okay, mic check 1, 2, 3. Hello.","Okay, mic check 1, 2, 3. Hello."
Me Kahani Hun S1,,,,,,,,,https://www.youtube.com/watch?v=a3MCTqqp4F0,5.0,00:00:45.840,"Salam, viewers!","Salam, viewers!"
Me Kahani Hun S1,,,,,,,,,https://www.youtube.com/watch?v=a3MCTqqp4F0,6.0,00:00:46.850,today we have with us a personality,Today we have with us a personality whose
Me Kahani Hun S1,,,,,,,,,https://www.youtube.com/watch?v=a3MCTqqp4F0,7.0,00:00:51.800,He is a well-known businessman in the city,He is a well-known businessman in the city
Me Kahani Hun S1,,,,,,,,,https://www.youtube.com/watch?v=a3MCTqqp4F0,8.0,00:00:54.800,and has created a unique,and has created a unique
Me Kahani Hun S1,,,,,,,,,https://www.youtube.com/watch?v=a3MCTqqp4F0,9.0,00:00:59.270,"That, too, at a very young age.","That, too, at a very young age."
Me Kahani Hun S1,,,,,,,,,https://www.youtube.com/watch?v=a3MCTqqp4F0,10.0,00:01:01.420,"I'm talking about, none other than,","I'm talking about, none other than,"
Me Kahani Hun S1,,,,,,,,,https://www.youtube.com/watch?v=a3MCTqqp4F0,11.0,00:01:04.120,the CEO of Hassam Group,the CEO of Hassam Group of
Me Kahani Hun S1,,,,,,,,,https://www.youtube.com/watch?v=a3MCTqqp4F0,12.0,00:01:08.670,We have a complaint with you.,We have a complaint with you.
Me Kahani Hun S1,,,,,,,,,https://www.youtube.com/watch?v=a3MCTqqp4F0,13.0,00:01:10.430,It took so much effort to get your time,It took so much effort to get your time
Me Kahani Hun S1,,,,,,,,,https://www.youtube.com/watch?v=a3MCTqqp4F0,14.0,00:01:12.440,"And if I am not wrong,","And if I'm not wrong,"
Me Kahani Hun S1,,,,,,,,,https://www.youtube.com/watch?v=a3MCTqqp4F0,15.0,00:01:13.970,then our channel might be the first,then our channel might be the first to
Me Kahani Hun S1,,,,,,,,,https://www.youtube.com/watch?v=a3MCTqqp4F0,16.0,00:01:18.810,"So, until now, was there a special reason","So, until now, was there a special reason"
Me Kahani Hun S1,,,,,,,,,https://www.youtube.com/watch?v=a3MCTqqp4F0,17.0,00:01:22.070,Actually I was not mentally prepared.,Actually I was not mentally prepared.
