Drama Name,Episode No#,URL,Sentence No,Start Time,End Time,Urdu Sentence,English Sentence
Mere damad,1,https://www.youtube.com/watch?v=ia3XCcKF11Q,1,00:00:00.020,00:00:04.360,اے لیڈر بنو,"O guide, stay there"
Mere damad,1,https://www.youtube.com/watch?v=ia3XCcKF11Q,2,00:00:04.360,00:00:07.580,[موسیقی],[Music]
Mere damad,1,https://www.youtube.com/watch?v=ia3XCcKF11Q,3,00:00:10.400,00:00:14.580,دفعہ نمبر 354 کے مطابق,"According to Pakistan section number 354, the"
Mere damad,1,https://www.youtube.com/watch?v=ia3XCcKF11Q,4,00:00:14.580,00:00:18.180,ملزم اکاؤنٹنٹ سلمان کا اپنی بیوی پر اتحاد ہے۔,accused Munim Salman has been sentenced to
Mere damad,1,https://www.youtube.com/watch?v=ia3XCcKF11Q,5,00:00:21.740,00:00:26.220,5 سال کی عمر,5 years in prison
Mere damad,1,https://www.youtube.com/watch?v=ia3XCcKF11Q,6,00:00:26.220,00:00:30.960,اور عدالت میں 2 لاکھ روپے جرمانہ بھی,and a fine of Rs. 2 lakhs has been deposited in the court for the crime of murdering his wife in unity.
Mere damad,1,https://www.youtube.com/watch?v=ia3XCcKF11Q,7,00:01:03.180,00:01:06.020,[موسیقی],[Music]
Mere damad,1,https://www.youtube.com/watch?v=ia3XCcKF11Q,8,00:01:06.020,00:01:08.100,[تعریف],[Praise]
Mere damad,1,https://www.youtube.com/watch?v=ia3XCcKF11Q,9,00:01:08.100,00:01:39.010,[موسیقی],[Music]
Mere damad,1,https://www.youtube.com/watch?v=ia3XCcKF11Q,10,00:01:39.010,00:01:49.600,[موسیقی],[Music]
Mere damad,1,https://www.youtube.com/watch?v=ia3XCcKF11Q,11,00:01:49.600,00:01:52.560,[موسیقی],[Music]
Mere damad,1,https://www.youtube.com/watch?v=ia3XCcKF11Q,12,00:01:52.560,00:01:57.620,بھائی مجھے کوئی راستہ بتائیں,"Brother, give me a little way, I mean for"
Mere damad,1,https://www.youtube.com/watch?v=ia3XCcKF11Q,13,00:01:57.620,00:02:04.860,خریداری کے لیے,"shopping, for"
Mere damad,1,https://www.youtube.com/watch?v=ia3XCcKF11Q,14,00:02:04.860,00:02:07.200,خدا کے لیے میرے بچے کی زندگی برباد کر دی۔,"God's sake, save my child's life from being ruined, for"
Mere damad,1,https://www.youtube.com/watch?v=ia3XCcKF11Q,15,00:02:07.200,00:02:10.320,خدا کے لیے بچوں کو اس سے بچائیں۔,"Allah's sake, children, you"
Mere damad,1,https://www.youtube.com/watch?v=ia3XCcKF11Q,16,00:02:10.320,00:02:12.840,آپ کی بھی بیٹیاں ہیں، ان کی خاطر,"also have daughters, don't you? For God's"
Mere damad,1,https://www.youtube.com/watch?v=ia3XCcKF11Q,17,00:02:12.840,00:02:16.140,خدا کے لیے ان کو بچاؤ بیٹا,"sake, spare them, son, give"
Mere damad,1,https://www.youtube.com/watch?v=ia3XCcKF11Q,18,00:02:16.140,00:02:21.400,اس کے پاس اپنے بھائی کو سمجھنے کا وقت تھا۔,him time to understand your brother.
Mere damad,1,https://www.youtube.com/watch?v=ia3XCcKF11Q,19,00:02:21.400,00:02:26.060,[موسیقی],[Music] For
Mere damad,1,https://www.youtube.com/watch?v=ia3XCcKF11Q,20,00:02:26.060,00:02:28.560,اللہ کے لیے اپنی بیٹیوں کو بچائیں۔,"Allah's sake,"
Mere damad,1,https://www.youtube.com/watch?v=ia3XCcKF11Q,21,00:02:28.560,00:02:30.960,مجھے خوشیوں کا تحفہ دے اور میرے بچے کو بخش دے۔,"give the sacrifice of your daughters' happiness, forgive my child, for"
Mere damad,1,https://www.youtube.com/watch?v=ia3XCcKF11Q,22,00:02:30.960,00:02:35.000,خدا کے لیے کرو,"God's sake,"
Mere damad,1,https://www.youtube.com/watch?v=ia3XCcKF11Q,23,00:02:35.000,00:02:39.240,بیوی، فیصلہ ہوچکا ہے کہ اب کچھ بھی کرنا ہے۔,"wife, the decision has been made, nothing"
