Drama Name,Timestamp,Urdu Subtitle,Urdu Length,English Subtitle,English Length,Episode,Genre,Episode No#,URL,Sentence No,Timestamps,Urdu Sentence,English Sentence,Start Time,End Time
Mohabbatain Chahatain,00:00:40.260,اچار کتنے کا ہے؟,4.0,How much is the pickle for?,6.0,,,,,,,,,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,1.0,00:00:40.260,اچار کتنے کا ہے؟,How much is the pickle for?,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,2.0,00:00:41.420,دو سو روپے,Two hundred rupees,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,3.0,00:00:42.340,کیا کہہ رہے ہو؟,what are you saying?,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,4.0,00:00:43.500,نوے روپے فی کلو‘ میں نے پچھلے ہفتے پچاس روپے کلو میں خریدا تھا,Ninety rupees per kg.I bought it for fifty rupees kg last week,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,5.0,00:00:46.820,میڈم ہم جس ریٹ پر خریدیں گے اسی ریٹ پر بیچیں گے میں نے,Madam we will sell it on the rate we buy it,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,6.0,00:00:49.100,خریدا ہے,I have bought it,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,7.0,00:00:50.380,اب مجھے دو کلو سو روپے میں دے دو یہ,Now give me two kilos for hundred rupees,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,8.0,00:00:54.620,بلا وجہ ریٹ کیوں بڑھاتے ہیں؟,Why do they increase the rates for no reason?,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,9.0,00:00:56.660,ایک ہفتے میں پچاس روپے بڑھانے سے کیا منافع ہوتا ہے؟,What profit do you get by increasing fifty rupees in a week?,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,10.0,00:01:00.140,اور یہ نوے روپے کلو نکال دو,And remove this ninety rupees kilo,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,11.0,00:01:17.020,تم وہاں شاپنگ کیوں نہیں کرتے؟,Why don’t you shop there?,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,12.0,00:01:19.140,کیونکہ وہاں ہر چیز بہت مہنگی ہے,Because everything is way too expensive there,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,13.0,00:01:21.540,تو کیا ہمیں ایسا نہیں لگتا کہ ہم اسے برداشت نہیں کر سکتے؟,So don’t we look like we cannot afford it?,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,14.0,00:01:23.100,ہم ایسے ہی نظر آتے ہیں لیکن حقیقت میں ہم اس کے متحمل نہیں ہیں,We look like that but we actually cannot afford it,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,15.0,00:01:28.180,مجھے افسوس ہے، یہ میرے منہ سے پھسل گیا،,"I am sorry, it slipped out of my mouth",,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,16.0,00:01:30.420,اب یہ ہو گیا، اب آپ کے منہ سے نکل گیا,"Now it is done, now it has slipped out of your mouth",,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,17.0,00:01:32.500,اوہ گاڈ فراز، آپ اتنا بڑا ڈرامہ کر رہے ہیں,"Oh God Faraz, you are such a big drama",,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,18.0,00:01:35.220,اوکے، میں مخالف بازار میں جا رہا ہوں، آپ یہیں ٹھہریں،,"Ok, I am going in the opposite market, you stay here",,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,19.0,00:01:40.220,کم از کم دوسرے کو خوش کرنے کی کوشش کریں,One should at least try to cheer up the other person,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,20.0,00:01:42.620,یا اللہ!  شوہروں کی زندگی کیسی ہوتی ہے؟  سنیہا,Oh God! What kind of a life do husbands have?,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,21.0,00:01:49.700,!  فراز,Sneha!,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,22.0,00:02:15.420,!,Faraz!,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,23.0,00:02:16.700,فراز تم ٹھیک ہو؟  فراز,Faraz are you ok?,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,24.0,00:02:18.700,!,Faraz!,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,25.0,00:02:20.620,تمہیں کیا ہوا؟تم ٹھیک ہو؟,What happened to you?Are you ok?,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,26.0,00:02:24.020,جی فراز، جی,"Yes Faraz, yes",,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,27.0,00:02:26.460,آپ ٹھیک ہیں گپو؟,Are you ok Guppo?,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,28.0,00:02:27.780,ہاں میں ٹھیک ہوں تم ٹھیک ہو؟,Yes I am ok Are you ok?,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,29.0,00:02:43.660,تارا!  تم!,Tara! You!,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,30.0,00:02:52.020,یہ تارا ہے,This is Tara,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,31.0,00:02:54.780,میں اس کی بیوی ہوں… اور تم؟,I am his wife…And you?,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,32.0,00:02:58.020,ہائے، میں سارہ,"Hi, I am Sara",,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,33.0,00:03:00.100,تارا اور سارہ ہوں… کتنا دلچسپ,Tara and Sara… how interesting,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,34.0,00:03:07.940,اوہ سوری!,Oh sorry!,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,35.0,00:03:11.140,ہم نے اسے خریدتے وقت کبھی نہیں سمجھا کہ یہ بہت خطرناک ہو سکتا ہے,We never realized while buying it that it could be very dangerous,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,36.0,00:03:18.100,درحقیقت کبھی کبھی تکلیف ہوتی ہے,In fact it sometimes hurts,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,37.0,00:03:22.500,تم یہاں اتنے سکون سے بیٹھے ہو اور فراز کا ایکسیڈنٹ,You are sitting here so peacefully and Faraz had an accident,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,38.0,00:03:26.140,کب ہوا؟,When?,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,39.0,00:03:27.700,کیسے؟,How?,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,40.0,00:03:28.980,اگر آپ میری کال کا جواب دیتے تو مجھے یہاں آنا ہی نہیں پڑتا،,I would not have had to come here if you would have had answered my call,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,41.0,00:03:36.820,مجھے بھی آپ سے ملنا ہے:,I got to meet you too,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,42.0,00:03:48.820,مجھے واقعی افسوس ہے,: I am really sorry,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,43.0,00:03:50.220,نہیں، مجھے افسوس ہے کامل صاحب,"No, I am sorry Mr. Kamil",,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,44.0,00:03:52.500,میں کبھی اتنا شرمندہ نہیں ہوا،,I have never been embarrassed so much,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,45.0,00:03:58.540,معذرت کامل بھائی، میں بہت پریشان تھا اس لیے میں نے اپنے فون میں پہلا نمبر ڈائل کیا,"Sorry Kamil brother, I was very tensed so I dialed the first number in my phone",,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,46.0,00:04:05.420,سسٹر یہ ٹھیک ہے,Sister it is ok,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,47.0,00:04:07.300,آپ نے ٹھیک کیا ہے اور میں آپ کو فون کر کے,You did the right thing by calling Tara,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,48.0,00:04:09.740,بتاؤں گا کہ وہ کہاں ہے اور میں بھی تارا کو کال کر کے,She was also coming but I don’t know where is she,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,49.0,00:04:12.660,دیکھوں گی۔,I will call and check,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,50.0,00:04:15.340,آرام کرو,You please relax,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,51.0,00:04:30.540,ہیلو!,Hello!,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,52.0,00:04:31.420,مجھے کہا لیکن تم خود ہسپتال نہیں آئے,told me but you did not come to the hospital yourself,,
Mohabbatain Chahatain,,,,,,,,,https://www.youtube.com/watch?v=ZME-aaoAVwA,53.0,00:04:34.100,میں لنچ پر ہوں,I am at lunch,,
