Drama Name,Episode No#,URL,Sentence No,Start Time,End Time,Urdu Sentence,English Sentence
Nawabzadiyan,140,https://www.youtube.com/watch?v=HjBvBVtR4ko,1,00:00:00.160,00:00:05.560,نہیں، صرف تین دوائیں ہیں۔,"No,"
Nawabzadiyan,140,https://www.youtube.com/watch?v=HjBvBVtR4ko,2,00:00:05.560,00:00:09.640,نواب میں صرف حیا سے شادی کرنا چاہتا ہوں۔,I want to marry Haya only.
Nawabzadiyan,140,https://www.youtube.com/watch?v=HjBvBVtR4ko,3,00:00:09.640,00:00:12.880,میں چاہتا تو کھل کر اس کے سامنے آ جاتا,"If I come out openly in front of her, she will"
Nawabzadiyan,140,https://www.youtube.com/watch?v=HjBvBVtR4ko,4,00:00:12.880,00:00:14.680,وہ مجھ سے نفرت کرنے لگے گی اور یہ میں ہوں۔,start hating me and I
Nawabzadiyan,140,https://www.youtube.com/watch?v=HjBvBVtR4ko,5,00:00:14.680,00:00:17.960,میں بالکل بھی آپ کو برداشت نہیں کرسکتا,"cannot afford this at all. Anyway,"
Nawabzadiyan,140,https://www.youtube.com/watch?v=HjBvBVtR4ko,6,00:00:17.960,00:00:20.640,آپ کو اپنی بہوؤں سے کیا ہمدردی ہے؟,what sympathy do you have? Whatever happened with your daughters-in-law should
Nawabzadiyan,140,https://www.youtube.com/watch?v=HjBvBVtR4ko,7,00:00:20.640,00:00:23.640,کچھ ایسا ہوا جو نہیں ہونا چاہیے تھا اور,not have happened and
Nawabzadiyan,140,https://www.youtube.com/watch?v=HjBvBVtR4ko,8,00:00:23.640,00:00:26.800,خاص طور پر اس طرح سارے دفتر کے تمام لوگ,"especially in this way in front of all the employees in the office,"
Nawabzadiyan,140,https://www.youtube.com/watch?v=HjBvBVtR4ko,9,00:00:31.720,00:00:34.400,چچا، اس نے میرے ساتھ ایک سادہ ملازم کی طرح سلوک کیا۔,"Uncle, she treated me like an ordinary employee,"
Nawabzadiyan,140,https://www.youtube.com/watch?v=HjBvBVtR4ko,10,00:00:34.400,00:00:36.800,جب میرے ساتھ ایسا سلوک کیا گیا تو میں نے بھی پورے دفتر کے ساتھ ایسا سلوک کیا۔,so I also
Nawabzadiyan,140,https://www.youtube.com/watch?v=HjBvBVtR4ko,11,00:00:36.800,00:00:39.360,ان کے سامنے ان کی حیثیت یاد دلائیں۔,reminded her of her place in front of the entire office.
