Drama Name,Timestamp,Urdu Subtitle,Urdu Length,English Subtitle,English Length,Episode,Genre,Episode No#,URL,Sentence No,Timestamps,Urdu Sentence,English Sentence
Parizaad,00:00:56.520,اللہ بہت مہربان رہا ہے۔,5.0,God has been very Merciful.,5.0,,,,,,,,
Parizaad,,,,,,,,,https://www.youtube.com/watch?v=fwZ6JNfXezg,1.0,00:00:56.520,اللہ بہت مہربان رہا ہے۔,God has been very Merciful.
Parizaad,,,,,,,,,https://www.youtube.com/watch?v=fwZ6JNfXezg,2.0,00:00:58.320,مجھے امید نہیں تھی کہ آپ کی بیوی اس بار زندہ رہے گی۔,I didn’t expect your wife to survive this time.
Parizaad,,,,,,,,,https://www.youtube.com/watch?v=fwZ6JNfXezg,3.0,00:01:01.160,جاؤ اور مٹھائیاں بانٹو۔,Go and distribute sweets.
Parizaad,,,,,,,,,https://www.youtube.com/watch?v=fwZ6JNfXezg,4.0,00:01:02.840,آپ کی بیوی نے ابھی تیسرے بیٹے کو جنم دیا ہے۔,Your wife just gave birth to a third son.
Parizaad,,,,,,,,,https://www.youtube.com/watch?v=fwZ6JNfXezg,5.0,00:01:11.560,کیا بات ہے منظور؟  کیا,What’s the matter Manzur?
Parizaad,,,,,,,,,https://www.youtube.com/watch?v=fwZ6JNfXezg,6.0,00:01:14.120,آپ اپنے بچے کی پیدائش پر خوش نہیں ہیں؟,Arent you happy at the birth of your child?
Parizaad,,,,,,,,,https://www.youtube.com/watch?v=fwZ6JNfXezg,7.0,00:01:20.120,یہ میرا پہلا بچہ نہیں ہے جسے آپ جانتے ہیں۔,This isn’t my first child you know.
Parizaad,,,,,,,,,https://www.youtube.com/watch?v=fwZ6JNfXezg,8.0,00:01:22.000,میرے پاس کھانا کھلانے کے لیے پہلے ہی کافی منہ تھے اور اب ایک اور ہے۔,I already had enough mouths to feed and now there’s another one.
Parizaad,,,,,,,,,https://www.youtube.com/watch?v=fwZ6JNfXezg,9.0,00:01:26.800,تمہیں ایسی باتیں نہیں کرنی چاہئیں منظور۔,You shouldn’t say such things Manzur.
Parizaad,,,,,,,,,https://www.youtube.com/watch?v=fwZ6JNfXezg,10.0,00:01:28.560,جو بھی پیدا ہوتا ہے، وہی لاتا ہے جس کے ساتھ خود کو برقرار رکھا جائے۔,"Whoever is born, brings that with which to sustain himself."
Parizaad,,,,,,,,,https://www.youtube.com/watch?v=fwZ6JNfXezg,11.0,00:01:31.840,چلو پھر اتنے اچھے ہو جاؤ کہ دو کلو مٹھائی لے آؤ,Come on then be so good as to bring two kilos of sweets from
Parizaad,,,,,,,,,https://www.youtube.com/watch?v=fwZ6JNfXezg,12.0,00:01:35.520,اور ہمیں پیش کر کے جشن مناؤ۔,and celebrate by offering them to us.
Parizaad,,,,,,,,,https://www.youtube.com/watch?v=fwZ6JNfXezg,13.0,00:01:37.000,جی ہاں، آپ کو یہ کرنا ہوگا!,"Yes, you must do this!"
Parizaad,,,,,,,,,https://www.youtube.com/watch?v=fwZ6JNfXezg,14.0,00:01:39.120,اور اگر آپ کے پاس پیسے نہیں ہیں تو… اوہ… میں آپ کو پیسے دوں گا۔,And if your don’t have money then… uh… I’ll give you the money.
Parizaad,,,,,,,,,https://www.youtube.com/watch?v=fwZ6JNfXezg,15.0,00:01:43.800,یہ لو یہ پیسے۔,"Here, take this money."
Parizaad,,,,,,,,,https://www.youtube.com/watch?v=fwZ6JNfXezg,16.0,00:01:55.480,ارے حمیدہ یہ کیا ہے؟  ایسا,"Oh hey Hamida, what’s this?"
