Drama Name,Timestamp,Urdu Subtitle,Urdu Length,English Subtitle,English Length,Episode,Genre,Episode No#,URL,Sentence No,Timestamps,Urdu Sentence,English Sentence,Start Time,End Time
Qismat Ki Maari,00:01:36.000,کیا آپ کے دونوں لڑکے جاگ رہے ہیں؟,8.0,Are both of your guys awake?,6.0,,,,,,,,,,
Qismat Ki Maari,,,,,,,,,https://www.youtube.com/watch?v=1ICN8mMWKWw,1.0,00:01:36.000,کیا آپ کے دونوں لڑکے جاگ رہے ہیں؟,Are both of your guys awake?,,
Qismat Ki Maari,,,,,,,,,https://www.youtube.com/watch?v=1ICN8mMWKWw,2.0,00:01:40.160,بہن,sister,,
Qismat Ki Maari,,,,,,,,,https://www.youtube.com/watch?v=1ICN8mMWKWw,3.0,00:01:42.000,آج سے ہم اپنے باپ کے سارے کام کریں گے ایسا کیوں,"today onwards, we will do all our father's work",,
Qismat Ki Maari,,,,,,,,,https://www.youtube.com/watch?v=1ICN8mMWKWw,4.0,00:01:46.990,؟,why so?,,
Qismat Ki Maari,,,,,,,,,https://www.youtube.com/watch?v=1ICN8mMWKWw,5.0,00:01:48.720,صحیح بہن؟  ہم نے فیصلہ کیا ہے کہ آپ کی شادی سے پہلے والد کی ذمہ داریاں خود سنبھالیں گے,right sister? We have decided to take care of Dad's responsibilities ourselves before your wedding,,
Qismat Ki Maari,,,,,,,,,https://www.youtube.com/watch?v=1ICN8mMWKWw,6.0,00:01:59.710,والد صاحب!,greetings dad!,,
Qismat Ki Maari,,,,,,,,,https://www.youtube.com/watch?v=1ICN8mMWKWw,7.0,00:02:01.820,سلام عزیز!,greetings dear!,,
Qismat Ki Maari,,,,,,,,,https://www.youtube.com/watch?v=1ICN8mMWKWw,8.0,00:02:04.180,بابا، کیا آپ نے ان دونوں کو دیکھا؟  انہوں نے بڑی سمجھداری سے باتیں کرنا شروع کر دی ہیں,"dad, did you see both of them? They have started to talk very wisely",,
Qismat Ki Maari,,,,,,,,,https://www.youtube.com/watch?v=1ICN8mMWKWw,9.0,00:02:09.120,بہن، آپ کی شادی کے بعد ہم نے سب کچھ سنبھالنا ہے، اب کیوں نہ شروع کر دیں۔,"Sister, since we have to handle everything after your marriage, why not start now?",,
Qismat Ki Maari,,,,,,,,,https://www.youtube.com/watch?v=1ICN8mMWKWw,10.0,00:02:16.150,انا، وہ دونوں جیسے ہیں ٹھیک کہہ رہے ہیں،,"Anna, both of them are right",,
Qismat Ki Maari,,,,,,,,,https://www.youtube.com/watch?v=1ICN8mMWKWw,11.0,00:02:19.300,تم کچھ دنوں کے لیے اس گھر میں مہمان ہو،,"as it is, you are the guest in this house for a few days",,
Qismat Ki Maari,,,,,,,,,https://www.youtube.com/watch?v=1ICN8mMWKWw,12.0,00:02:23.290,ان کو کرنے دو,let them do it,,
Qismat Ki Maari,,,,,,,,,https://www.youtube.com/watch?v=1ICN8mMWKWw,13.0,00:02:24.770,ابا، تم بھی ان کی سائیڈنگ کر رہے ہو,"dad, you are also siding them",,
Qismat Ki Maari,,,,,,,,,https://www.youtube.com/watch?v=1ICN8mMWKWw,14.0,00:02:28.650,ٹھیک ہے، جب تک میں یہاں ہوں,"ok fine, until I am here",,
Qismat Ki Maari,,,,,,,,,https://www.youtube.com/watch?v=1ICN8mMWKWw,15.0,00:02:32.520,تب تک مجھے اپنی ذمہ داریوں کا حق پورا کرنے دو,until then let me fulfill the right of my responsibilities,,
Qismat Ki Maari,,,,,,,,,https://www.youtube.com/watch?v=1ICN8mMWKWw,16.0,00:02:36.290,ٹھیک ہے، جیسے تمہاری مرضی میں پاپا کو,"ok dear, as you wish",,
Qismat Ki Maari,,,,,,,,,https://www.youtube.com/watch?v=1ICN8mMWKWw,17.0,00:02:41.330,چھوڑ کر جا رہا ہوں,I am leaving,,
Qismat Ki Maari,,,,,,,,,https://www.youtube.com/watch?v=1ICN8mMWKWw,18.0,00:02:46.880,ہاں؟  اوہ,yes dear?,,
Qismat Ki Maari,,,,,,,,,https://www.youtube.com/watch?v=1ICN8mMWKWw,19.0,00:02:49.010,!,oh!,,
Qismat Ki Maari,,,,,,,,,https://www.youtube.com/watch?v=1ICN8mMWKWw,20.0,00:02:54.190,پیاری یہ ڈنڈا تو میں عادتاً رکھتا ہوں,"dear, I keep this stick habitually",,
Qismat Ki Maari,,,,,,,,,https://www.youtube.com/watch?v=1ICN8mMWKWw,21.0,00:02:58.150,لیکن... جو سہارا مجھے گرنے نہیں دیتا وہ,but... the support which doesn't let me fall,,
