Drama Name,Timestamp,Urdu Subtitle,Urdu Length,English Subtitle,English Length,Episode,Genre,Episode No#,URL,Sentence No,Timestamps,Urdu Sentence,English Sentence
Sotan,00:00:00.000,اپنا بیگ پیک کرو، تمہیں ابھی جانا ہے۔  میں اس وقت اس پر بحث نہیں کرنا چاہتا,17.0,"Pack your bag, You have to leave right now. I don't want to argue about it at this moment",19.0,,,,,,,,
Sotan,,,,,,,,,https://www.youtube.com/watch?v=1HlBsY_7KOE,1.0,00:00:00.000,اپنا بیگ پیک کرو، تمہیں ابھی جانا ہے۔  میں اس وقت اس پر بحث نہیں کرنا چاہتا,"Pack your bag, You have to leave right now. I don't want to argue about it at this moment"
Sotan,,,,,,,,,https://www.youtube.com/watch?v=1HlBsY_7KOE,2.0,00:00:08.050,مجھے بابا سے بات کرنی ہے۔  بابا سے بات کریں گے؟,I need to talk to Baba. Will you talk to Baba?
Sotan,,,,,,,,,https://www.youtube.com/watch?v=1HlBsY_7KOE,3.0,00:00:11.820,ارے تم نے اسے سب کے سامنے تھپڑ مارا!,"Hey, you slapped her in front of everyone!"
Sotan,,,,,,,,,https://www.youtube.com/watch?v=1HlBsY_7KOE,4.0,00:00:16.620,تم نے اسے سب کے سامنے شرمندہ کیا، اور اب تم چاہتے ہو کہ وہ تم سے معافی مانگے؟,"You've embarrassed her in front of everyone, and now you want her to apologize to you?"
Sotan,,,,,,,,,https://www.youtube.com/watch?v=1HlBsY_7KOE,5.0,00:00:47.420,نسیمہ؟...نسیمہ؟...میں بہت دنوں سے کہہ رہا ہوں کہ یہ چیزیں لان میں ہونی چاہئیں,Naseema?...Naseema?..I've been saying for a long time that these things should be in the lawn
Sotan,,,,,,,,,https://www.youtube.com/watch?v=1HlBsY_7KOE,6.0,00:00:53.880,وہ کہاں گئی؟  جلدی لے لو!,Where has she gone? Take it quickly!
Sotan,,,,,,,,,https://www.youtube.com/watch?v=1HlBsY_7KOE,7.0,00:00:56.620,یہ لوگ ایک بار سمجھانے کے بعد بھی نہیں سمجھتے۔  کیا تم تیار ہو بچے؟  ہاں...,"These people never understand even after explaining it once. Are you ready, child? Yes..."
Sotan,,,,,,,,,https://www.youtube.com/watch?v=1HlBsY_7KOE,8.0,00:01:06.050,لیکن آپ کی بالیوں کا کیا ہوگا؟  تم نے اپنے کانوں میں کچھ نہیں پہنا ہے,But what about your earrings? You havenít worn anything in your ears
Sotan,,,,,,,,,https://www.youtube.com/watch?v=1HlBsY_7KOE,9.0,00:01:09.480,جلدی کرو اور پہن لو!  معذرت، معذرت... جلدی کرو!,"Hurry up and put them on! Sorry, sorry...be quick!"
Sotan,,,,,,,,,https://www.youtube.com/watch?v=1HlBsY_7KOE,10.0,00:01:09.540,جلدی کرو اور پہن لو!  معذرت، معذرت... جلدی کرو!,"Hurry up and put them on! Sorry, sorry...be quick!"
Sotan,,,,,,,,,https://www.youtube.com/watch?v=1HlBsY_7KOE,11.0,00:01:14.450,آپ اب آگے ہیں۔  آپ نے اپنے مصروف کاروباری نظام الاوقات کے باوجود ہمارے لیے وقت نکال لیا،,You're ahead now. You've found time for us despite your busy business schedule
Sotan,,,,,,,,,https://www.youtube.com/watch?v=1HlBsY_7KOE,12.0,00:01:23.880,مہمان ابھی کچھ عرصے سے گھر پر بیٹھے ہیں، اور آپ ابھی پہنچ رہے ہیں۔  ہاں، ہاں، لیکن میں بالکل تیار ہوں,"The guests have been sitting at home for a while now, and you're just arriving. Yes, yes, but I'm absolutely ready"
Sotan,,,,,,,,,https://www.youtube.com/watch?v=1HlBsY_7KOE,13.0,00:01:33.250,عماد، کیا ہو رہا ہے؟  آپ ابھی بھی اپنی قمیض ہاتھ میں لے کر گھوم رہے ہیں؟,"Emad, whatís going on? Youíre still walking around with your shirt in your hand?"
Sotan,,,,,,,,,https://www.youtube.com/watch?v=1HlBsY_7KOE,14.0,00:01:38.740,اس گھر میں کیا ہو رہا ہے؟,Whatís happening in this house?
Sotan,,,,,,,,,https://www.youtube.com/watch?v=1HlBsY_7KOE,15.0,00:01:39.710,ماما، میری قمیض پر چائے گر گئی، نبیل نے اسے دھویا، اور اب میں اسے نسیمہ کے ساتھ دبانے جا رہا ہوں۔,"Mama, my shirt got spilled with tea, Nabeel washed it, and now Iím going to press it with Nasema."
Sotan,,,,,,,,,https://www.youtube.com/watch?v=1HlBsY_7KOE,16.0,00:01:44.170,آپ کی ملکہ تیار ہے یا نہیں؟,Is your queen ready or not?
Sotan,,,,,,,,,https://www.youtube.com/watch?v=1HlBsY_7KOE,17.0,00:01:46.170,ٹھیک ہے، میں خود جا کر چیک کروں گا۔  نرمین، کیا آپ تیار ہیں؟  ہاں، ماما!..ہم؟,"Okay, Iíll go check myself. Narmeen, are you ready? Yes, Mama!..hm?"
Sotan,,,,,,,,,https://www.youtube.com/watch?v=1HlBsY_7KOE,18.0,00:01:57.940,لیکن آپ نے کون سا رنگ پہنا ہے؟  تمہیں یاد ہے میں نے تمہیں بتایا تھا کہ کون سا رنگ پہننا ہے، ٹھیک ہے؟  اس,"But which color are you wearing? You remember I told you which color to wear, right?"
Sotan,,,,,,,,,https://www.youtube.com/watch?v=1HlBsY_7KOE,19.0,00:02:04.450,لیے، درزی نے ابھی تک گولڈن سوٹ نہیں پہنچایا۔,"hatís why, the tailor hasnít delivered the golden suit yet."
Sotan,,,,,,,,,https://www.youtube.com/watch?v=1HlBsY_7KOE,20.0,00:02:10.110,یہ ٹھیک ہے، آپ کے پاس سنہری رنگ کے بہت سے کپڑے ہیں۔  بس ان میں سے کوئی ایک پہن لو!,"That's okay, you have plenty of dresses in golden color. Just wear any one of them!"
Sotan,,,,,,,,,https://www.youtube.com/watch?v=1HlBsY_7KOE,21.0,00:02:16.910,اور دیکھو، یہ سنہری ہے، ٹھیک ہے؟  یا یہ سرخ نظر آتا ہے؟  اسے رکھو اور نیچے آو!,"And look, this is golden, right? Or does it look red? Put it on and come downstairs!"
Sotan,,,,,,,,,https://www.youtube.com/watch?v=1HlBsY_7KOE,22.0,00:02:23.310,مہمان انتظار کر رہے ہیں..,guest are waiting..
Sotan,,,,,,,,,https://www.youtube.com/watch?v=1HlBsY_7KOE,23.0,00:02:25.310,ہماری خاندانی روایت میں، ایک لڑکی اپنے بچے کے شاور کے موقع پر سنہری رنگ کا سوٹ پہنتی ہے،,"In our family tradition, a girl wears a golden-colored suit during the occasion of her baby shower"
Sotan,,,,,,,,,https://www.youtube.com/watch?v=1HlBsY_7KOE,24.0,00:02:34.050,جلدی کرو اور نیچے آؤ!  اور اگر تم مجھ سے جھگڑتے رہو گے تو میں تمہیں آرام نہیں کرنے دوں گا!,"Hurry up and come down! And if you keep arguing with me, I won't let you rest!"
Sotan,,,,,,,,,https://www.youtube.com/watch?v=1HlBsY_7KOE,25.0,00:02:51.420,جلدی کرو اور نیچے آؤ... میں نے تمہاری دھمکیاں بہت دیر تک برداشت کی ہیں، پیاری ساس!,"Hurry up and come down... I've tolerated your threats for too long, dear mother-in-law!"
Sotan,,,,,,,,,https://www.youtube.com/watch?v=1HlBsY_7KOE,26.0,00:03:00.740,آج میں پورے خاندان کے سامنے اس گھر کی تمام روایات سے بغاوت کروں گا۔,"Today, I will rebel against all the traditions of this house in front of the entire family."
Sotan,,,,,,,,,https://www.youtube.com/watch?v=1HlBsY_7KOE,27.0,00:03:06.280,جو بھی ہوتا ہے، ہم دیکھیں گے۔  یقین کریں میں نے ہمیشہ آپ کی بیٹی کو اپنا سمجھا ہے,"Whatever happens, we'll see. Believe me, I have always considered your daughter as my own"
Sotan,,,,,,,,,https://www.youtube.com/watch?v=1HlBsY_7KOE,28.0,00:03:17.080,اور اسے کسی اور سے زیادہ اہمیت دی ہے,and gave her more importance than anyone else
Sotan,,,,,,,,,https://www.youtube.com/watch?v=1HlBsY_7KOE,29.0,00:03:20.510,لیکن کاش وہ مجھے بھی اپنی ماں سمجھتی,But I wish she would consider me as her mother too
