Drama Name,Timestamp,Urdu Subtitle,Urdu Length,English Subtitle,English Length,Episode,Genre,Episode No#,URL,Sentence No,Timestamps,Urdu Sentence,English Sentence,Start Time,End Time
Sun Mere Dil,00:00:26.680,اوہ،,1.0,"Oh,",1.0,,,,,,,,,,
Sun Mere Dil,,,,,,,,,https://www.youtube.com/watch?v=nIOy8P92V-c,1.0,00:02:33.840,میں چار دنوں میں واپس جاؤں گا,"I will go back in four days,",,
Sun Mere Dil,,,,,,,,,https://www.youtube.com/watch?v=nIOy8P92V-c,2.0,00:02:39.600,اور ان چار دنوں میں صرف ایک دن,"and in those four days,",,
Sun Mere Dil,,,,,,,,,https://www.youtube.com/watch?v=nIOy8P92V-c,3.0,00:02:42.640,پینے سے پرہیز کروں گا۔,I will refrain from drinking,,
Sun Mere Dil,,,,,,,,,https://www.youtube.com/watch?v=nIOy8P92V-c,4.0,00:02:47.840,اس دن,"On that day,",,
Sun Mere Dil,,,,,,,,,https://www.youtube.com/watch?v=nIOy8P92V-c,5.0,00:02:53.480,مجھے اس ہوٹل کی وجہ سے آنا ہے,I have to come because of this hotel,,
Sun Mere Dil,,,,,,,,,https://www.youtube.com/watch?v=nIOy8P92V-c,6.0,00:02:59.440,میں یہ ہوٹل بیچ سکتا ہوں، لیکن...,"I can sell this hotel, but...",,
Sun Mere Dil,,,,,,,,,https://www.youtube.com/watch?v=nIOy8P92V-c,7.0,00:03:05.080,میں پاپا کی قبر کو,...I can’t take Papa’s grave,,
Sun Mere Dil,,,,,,,,,https://www.youtube.com/watch?v=nIOy8P92V-c,8.0,00:03:10.400,کیا عجیب بات نہیں مرزا صاحب۔,"Isn’t it weird, Mr. Mirza?",,
Sun Mere Dil,,,,,,,,,https://www.youtube.com/watch?v=nIOy8P92V-c,9.0,00:03:14.400,میں پیسے سے زندہ رہنے والے سب کو خرید لیتا ہوں،,"I buy everyone living with money,",,
Sun Mere Dil,,,,,,,,,https://www.youtube.com/watch?v=nIOy8P92V-c,10.0,00:03:19.960,لیکن میں,but I cannot buy,,
Sun Mere Dil,,,,,,,,,https://www.youtube.com/watch?v=nIOy8P92V-c,11.0,00:03:30.920,اب اگر میں زیادہ پیتا ہوں تو,"Now, if I drink too much,",,
Sun Mere Dil,,,,,,,,,https://www.youtube.com/watch?v=nIOy8P92V-c,12.0,00:03:33.280,کبھی کبھی ٹھوکر کھاتا ہوں۔,sometimes I stumble.,,
Sun Mere Dil,,,,,,,,,https://www.youtube.com/watch?v=nIOy8P92V-c,13.0,00:03:37.400,اگر میں ٹھوکر کھاتا ہوں تو میری مدد کر۔,"If I stumble, then help me stand.",,
Sun Mere Dil,,,,,,,,,https://www.youtube.com/watch?v=nIOy8P92V-c,14.0,00:03:40.960,میں کروں گا۔,I will.,,
Sun Mere Dil,,,,,,,,,https://www.youtube.com/watch?v=nIOy8P92V-c,15.0,00:04:36.080,ایک پرفیکٹ لڑکی ایسی ہوتی ہے۔,This is what a perfect girl is like.,,
Sun Mere Dil,,,,,,,,,https://www.youtube.com/watch?v=nIOy8P92V-c,16.0,00:04:44.000,وہ تمہیں برباد کر دے گی لیکن پیچھے مڑ کر نہیں دیکھے گی۔,She’ll ruin you but never look back.,,
Sun Mere Dil,,,,,,,,,https://www.youtube.com/watch?v=nIOy8P92V-c,17.0,00:05:43.480,اندازہ لگائیں یہ خط کہاں سے آیا ہے؟,Guess where this letter has come from?,,
Sun Mere Dil,,,,,,,,,https://www.youtube.com/watch?v=nIOy8P92V-c,18.0,00:05:46.360,کچھ انٹرویو کال۔,Some interview call.,,
Sun Mere Dil,,,,,,,,,https://www.youtube.com/watch?v=nIOy8P92V-c,19.0,00:05:48.080,اوہ، یہ تو ہے، لیکن مجھے بتاؤ،,"Oh, that it is, but tell me,",,
Sun Mere Dil,,,,,,,,,https://www.youtube.com/watch?v=nIOy8P92V-c,20.0,00:05:53.280,بلال عبداللہ۔,Bilal Abdullah.,,
Sun Mere Dil,,,,,,,,,https://www.youtube.com/watch?v=nIOy8P92V-c,21.0,00:05:54.360,جی ہاں,Yes.,,
Sun Mere Dil,,,,,,,,,https://www.youtube.com/watch?v=nIOy8P92V-c,22.0,00:05:55.440,میں اس پر یقین نہیں کر سکتا۔,I can’t believe it.,,
Sun Mere Dil,,,,,,,,,https://www.youtube.com/watch?v=nIOy8P92V-c,23.0,00:05:58.160,یہ پڑھیں۔,Read this.,,
Sun Mere Dil,,,,,,,,,https://www.youtube.com/watch?v=nIOy8P92V-c,24.0,00:06:11.040,تم لوگ یہاں چھپے ہوئے ہو۔,You people are hiding here.,,
