Drama Name,Timestamp,Urdu Subtitle,Urdu Length,English Subtitle,English Length,Episode,Genre,Episode No#,URL,Sentence No,Timestamps,Urdu Sentence,English Sentence
Tark e Wafa,00:02:03.120,تم مجھے کیوں بلا رہے ہو,6.0,why are you calling me?,5.0,,,,,,,,
Tark e Wafa,,,,,,,,,https://www.youtube.com/watch?v=lb6dBktPofQ,1.0,00:01:38.570,بہن,sister
Tark e Wafa,,,,,,,,,https://www.youtube.com/watch?v=lb6dBktPofQ,2.0,00:01:40.460,آپ ابھی تک گھر پر ہیں، آپ کیک لینے کس وقت جائیں گی؟,"you are still at home, at what time you'll go to get the cake?"
Tark e Wafa,,,,,,,,,https://www.youtube.com/watch?v=lb6dBktPofQ,3.0,00:01:43.410,میں اسے لینے جا رہا ہوں۔  ٹھیک ہے، کیا آپ مجھے بتا سکتے ہیں کہ بابا آج کتنے بجے آئیں گے؟,"I am going to pick it up. Okay, could you please let me know what time Dad will come today?"
Tark e Wafa,,,,,,,,,https://www.youtube.com/watch?v=lb6dBktPofQ,4.0,00:01:47.390,ظاہر ہے کہ وہ اس وقت آئے گا,"obviously, he will come on this time"
Tark e Wafa,,,,,,,,,https://www.youtube.com/watch?v=lb6dBktPofQ,5.0,00:01:49.200,وہ کسی بھی وقت یہاں آئے گا، پلیز جلدی سے چلے جائیں,"he will be here anytime, please go quickly"
Tark e Wafa,,,,,,,,,https://www.youtube.com/watch?v=lb6dBktPofQ,6.0,00:01:51.690,اس کا مطلب ہے کہ وہ جلد ہی آئے گا۔  ٹھیک ہے، اس دوران میں، میں کیک لینے چلا جاؤں گا۔  کیا آپ دوسری چیزوں کی جانچ کر سکتے ہیں؟,"It means he will come soon. Okay, in the meantime, I'll go get the cake. Could you check on other things?"
Tark e Wafa,,,,,,,,,https://www.youtube.com/watch?v=lb6dBktPofQ,7.0,00:01:56.450,ٹھیک ہے؟,ok?
Tark e Wafa,,,,,,,,,https://www.youtube.com/watch?v=lb6dBktPofQ,8.0,00:01:57.320,اچھا ذائقہ لے آؤ,bring a nice flavor
Tark e Wafa,,,,,,,,,https://www.youtube.com/watch?v=lb6dBktPofQ,9.0,00:02:09.530,بھائی...,brother...
Tark e Wafa,,,,,,,,,https://www.youtube.com/watch?v=lb6dBktPofQ,10.0,00:02:12.060,صاف نیت منزل آسان کر دیتی ہے,Clear intentions make the destination easier
Tark e Wafa,,,,,,,,,https://www.youtube.com/watch?v=lb6dBktPofQ,11.0,00:02:13.870,بھائی، مجھے بیکری جانا ہے اور جلدی واپس آنا ہے۔  پلیز اضافی پیسے مت مانگیں,"Brother, I need to go to the bakery and come back quickly. Please don't ask for extra money"
