Drama Name,Timestamp,Urdu Subtitle,Urdu Length,English Subtitle,English Length,Episode,Genre,Episode No#,URL,Sentence No,Timestamps,Urdu Sentence,English Sentence
Unchahee,00:00:00.440,پھولوں سے اور کلیوں سے,5.0,From flowers and from buds,5.0,,,,,,,,
Unchahee,,,,,,,,,https://www.youtube.com/watch?v=CWjl-ijZYoE,1.0,00:00:00.440,پھولوں سے اور کلیوں سے,From flowers and from buds
Unchahee,,,,,,,,,https://www.youtube.com/watch?v=CWjl-ijZYoE,2.0,00:00:04.560,میں نے کھلنا اور خوشبودار بننا سیکھا ہے,I have learnt to bloom and be fragrant
Unchahee,,,,,,,,,https://www.youtube.com/watch?v=CWjl-ijZYoE,3.0,00:00:09.180,جب میں نے تمہیں دیکھا,When I saw you
Unchahee,,,,,,,,,https://www.youtube.com/watch?v=CWjl-ijZYoE,4.0,00:00:18.830,ہمارا کوئی بھائی نہیں ہے,We do not have any brother
Unchahee,,,,,,,,,https://www.youtube.com/watch?v=CWjl-ijZYoE,5.0,00:00:25.840,-ہاں، شبانہ اس معاملے میں خوش قسمت ہیں۔,"-Yeah, Shabana is lucky in this regard."
Unchahee,,,,,,,,,https://www.youtube.com/watch?v=CWjl-ijZYoE,6.0,00:00:31.390,اب تم پھانسی دو گے؟  ٹھیک ہے، الوداع,"Now will you hang up? Okay, bye."
Unchahee,,,,,,,,,https://www.youtube.com/watch?v=CWjl-ijZYoE,7.0,00:00:48.420,یہاں.,Here.
Unchahee,,,,,,,,,https://www.youtube.com/watch?v=CWjl-ijZYoE,8.0,00:00:51.680,کیا ہوا زید؟  تم نے یہ,"What's wrong, Zaid? You have made this"
Unchahee,,,,,,,,,https://www.youtube.com/watch?v=CWjl-ijZYoE,9.0,00:00:55.850,چہرہ ایسا ہی ہے۔  میں,-My face is like that.
Unchahee,,,,,,,,,https://www.youtube.com/watch?v=CWjl-ijZYoE,10.0,00:01:00.030,لیکن صرف ایک سیکنڈ، مجھے اپنا چہرہ دکھائیں۔,"but just a second, show me your face."
Unchahee,,,,,,,,,https://www.youtube.com/watch?v=CWjl-ijZYoE,11.0,00:01:03.100,لگتا ہے آپ,Seems like you have come
Unchahee,,,,,,,,,https://www.youtube.com/watch?v=CWjl-ijZYoE,12.0,00:01:05.040,آپ کہہ سکتے ہیں کہ ایسا ہی ہے۔,You can say that is the case.
Unchahee,,,,,,,,,https://www.youtube.com/watch?v=CWjl-ijZYoE,13.0,00:01:10.620,کیوں، اب کیا ہوا؟,"Why, now what happened?"
Unchahee,,,,,,,,,https://www.youtube.com/watch?v=CWjl-ijZYoE,14.0,00:01:15.000,میرا مطلب ہے، مجھے نہیں معلوم،,"I mean, I don't know,"
