Drama Name,Timestamp,Urdu Subtitle,Urdu Length,English Subtitle,English Length,Episode,Genre,Episode No#,URL,Sentence No,Timestamps,Urdu Sentence,English Sentence
Zard Patton Ka Bunn,00:00:24.080,اللہ خیر کرے، اللہ خیر کرے۔,6.0,"God bless, God bless.",4.0,,,,,,,,
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,1.0,00:00:24.080,اللہ خیر کرے، اللہ خیر کرے۔,"God bless, God bless."
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,2.0,00:00:26.680,خدا کی شان ہے، خدا آپ کی نیکی کا بدلہ دے۔,"Glory be to God, may God reward your goodness."
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,3.0,00:00:29.320,یہ ہے پانی والے اللہ داد کی طرف سے 50 روپے صدقہ۔,Here is 50 rupees charity from
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,4.0,00:00:34.400,اللہ پاک ہے، اللہ پاک ہے۔,"Glory be to God, glory be to God."
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,5.0,00:00:36.680,خدا آپ کو جزائے خیر دے، خدا آپ کو جزائے خیر دے۔,"May God reward you, may God reward you."
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,6.0,00:00:39.640,قیصر کلاں کے معزز مسلمانو!,The honorable Muslims of Qaiser Klan!
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,7.0,00:00:43.000,عالم دین یوسف کی کال پر آگے آئیں اور دل کھول کر چندہ دیں۔,"Come forward and donate generously on the religious scholar, Yousuf’s call."
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,8.0,00:00:48.800,آج اس مبارک جمعہ کے دن موٹر اس قدر خراب ہو گئی ہے کہ مرمت سے باہر ہے۔,"Today, on this blessed Friday, the motor is so damaged that it's beyond repair."
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,9.0,00:00:54.080,آؤ,Come
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,10.0,00:00:55.120,موٹر کی مرمت کے فنڈ میں حصہ ڈالیں۔,Contribute to the motor repair fund.
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,11.0,00:00:57.760,اللہ پاک ہے، اللہ پاک ہے۔,"Glory be to God, glory be to God."
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,12.0,00:01:00.560,مرحوم بہادر بخش کی بیوہ والدہ سرداراں سے 200 روپے۔,"200 rupees from Late Bahadur Bakhsh’s widow, Mother Sardaran."
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,13.0,00:01:06.520,اللہ آپ کو جنت الفردوس میں بہترین مقام عطا فرمائے، ماں سرداران۔,"God will grant you the best place in paradise, Mother Sardaran."
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,14.0,00:01:10.320,قیصر کلاں کے مسلمانو اپنے گھروں سے نکلو۔,"Qaiser Klan’s Muslims, come out of your houses."
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,15.0,00:01:15.120,میرا گلا خشک ہو گیا ہے، دو تین گھنٹے سے اعلانات کرنے کی وجہ سے۔,"My throat has dried up, cause of making announcements since two, three hours."
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,16.0,00:01:19.640,کچھ خدا کا خوف کرو۔,Have some God fear.
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,17.0,00:01:22.600,تم لوگ آج مرغ کی لڑائی پر ہزاروں خرچ کرو گے۔,You guys will spend thousands on
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,18.0,00:01:27.360,لیکن آپ موٹر کی مرمت کے لیے چندہ کیوں نہیں دے سکتے؟,But why can’t you donate for the motor repair?
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,19.0,00:01:32.920,مرغ کی لڑائی بھی دوسری لڑائیوں کی طرح ناجائز ہے۔,Rooster fight is also impermissible like other fights.
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,20.0,00:01:42.640,آپ کو اس عالم دین کی طرف توجہ نہیں کرنی چاہیے، میرے شیر۔,"You are not supposed to pay attention to this religious scholar, my lion."
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,21.0,00:01:46.200,ظالم ایسا کہہ رہا ہے تمہارا ایمان متزلزل کرنے کے لیے۔,"The cruel man is saying so, to shake your faith."
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,22.0,00:01:50.960,آپ کو…,You have to…
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,23.0,00:01:52.480,آج کا ریسلنگ میچ جیتنا ہے…,Win today’s wrestling match…
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,24.0,00:01:55.200,اور بھورا، اپنے روحانی,"And make Bhoora, your spiritual"
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,25.0,00:02:00.440,جانوروں کو آپس میں لڑانا ظلم ہے۔,Making animals fight each other is cruelty.
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,26.0,00:02:04.360,اس کا ظلم۔,Its cruelty.
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,27.0,00:02:06.960,یہ احمق نہیں جانتا کہ تم جانور نہیں ہو۔,This fool doesn’t know that you are not an animal.
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,28.0,00:02:10.720,تم جانور نہیں ہو۔,You are not an animal.
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,29.0,00:02:11.960,تم ایمان کا پرندہ ہو۔,You are a bird of faith.
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,30.0,00:02:14.720,ہمم؟,Hmm?
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,31.0,00:02:16.520,اللہ نے آپ کو صرف,"Allah has bestowed upon you only,"
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,32.0,00:02:21.840,آپ خدا کی مخلوق ہیں۔,You are God’s creature.
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,33.0,00:02:24.040,جب آپ بانگ دیتے ہیں…,When you crow…
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,34.0,00:02:25.840,پوری کائنات جاگ جاتی ہے اور دعا کرنا شروع کردیتی ہے۔,The entire universe wakes up and start praying.
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,35.0,00:02:29.480,ہمم؟,Hmm?
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,36.0,00:02:30.800,تیرا رتبہ یوسف،,"Your status is even higher than Yousuf,"
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,37.0,00:02:37.360,یہ تیز ہو گیا ہے۔,It has sharpened.
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,38.0,00:02:39.560,آج کا ریسلنگ میچ صرف آپ ہی جیت پائیں گے۔,Only you will win today’s wrestling match.
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,39.0,00:02:42.360,خدا آپ کی نیکی کا بدلہ دے۔,May God reward your goodness.
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,40.0,00:02:43.680,یہ ہے 50 روپے…,Here is rupees 50…
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,41.0,00:02:45.560,اور ایک خط…,and a letter…
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,42.0,00:02:47.000,مرغوں کی لڑائی کے ماسٹر،,"Is from the rooster fight Master,"
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,43.0,00:02:50.560,میمونہ عرف مینو کی طرف سے ہے۔,Maimoona aka Meenu.
Zard Patton Ka Bunn,,,,,,,,,https://www.youtube.com/watch?v=QJdJ53wqFSs,44.0,00:02:53.920,مینو نے یہ خط دیا ہے…,Meenu has given this letter…
